generation,timestep,reward
2,20,1914.8823
4,40,1733.7723
6,60,1530.2901
8,80,1512.281
10,100,1708.2917
12,120,1780.0828
14,140,1748.2644
16,160,1804.6636
18,180,1340.5424
20,200,1496.4402
22,220,1722.2102
24,240,1701.4985
26,260,1422.0538
28,280,1760.4365
30,300,1755.6758
32,320,1748.3356
34,340,1960.5408
36,360,1638.5293
38,380,1770.6428
40,400,1585.2201
42,420,1724.5631
44,440,1574.2256
46,460,1799.0346
48,480,1877.5239
50,500,1748.9764
52,520,1529.408
54,540,1742.211
56,560,1753.7569
58,580,1530.0134
60,600,1769.056
62,620,1669.0772
64,640,1831.6487
66,660,1736.2346
68,680,1684.4272
70,700,1635.7269
72,720,1805.1072
74,740,1492.603
76,760,1842.59
78,780,1580.453
80,800,1479.2878
82,820,1773.295
84,840,1813.5505
86,860,1939.112
88,880,1625.9924
90,900,1868.9131
92,920,1624.6099
94,940,1659.8872
96,960,1558.7985
98,980,1652.2604
100,1000,1585.2473
