generation,timestep,reward
2,20,63.3363
4,40,45.6633
6,60,37.4961
8,80,40.7653
10,100,42.8855
12,120,30.6605
14,140,14.1921
16,160,28.3139
18,180,55.8101
20,200,52.5913
22,220,43.0381
24,240,35.1457
26,260,46.0685
28,280,38.2712
30,300,61.1094
32,320,28.225
34,340,49.3987
36,360,20.4191
38,380,57.6457
40,400,24.6461
42,420,44.725
44,440,65.9154
46,460,21.2401
48,480,34.0622
50,500,54.8623
52,520,13.5249
54,540,64.5806
56,560,53.2071
58,580,56.4677
60,600,46.7831
62,620,36.4017
64,640,52.6026
66,660,66.7889
68,680,45.6574
