generation,timestep,reward
2,20,524.4882
5,40,531.5386
7,60,553.2834
9,80,657.0228
11,100,625.342
14,120,445.9947
17,140,550.9359
20,160,447.7488
22,180,331.9901
25,200,502.9042
27,220,503.1293
29,240,595.2433
32,260,413.5178
36,280,375.4781
40,300,237.9745
42,320,473.479
45,340,325.7064
48,360,394.9382
50,380,266.8957
53,400,465.5035
55,420,593.2574
59,440,259.2615
61,460,451.237
63,480,610.913
65,500,582.062
67,520,611.8364
69,540,618.5593
73,560,301.4933
75,580,332.3329
77,600,651.7449
79,620,620.1987
82,640,335.7522
84,660,507.8199
87,680,463.0807
89,700,557.5385
91,720,564.9537
93,740,449.441
95,760,655.8115
97,780,692.4488
99,800,688.331
102,820,451.176
105,840,274.0383
107,860,753.5695
109,880,697.4918
111,900,768.4797
114,920,322.2551
116,940,748.7831
118,960,761.0972
121,980,670.1571
123,1000,661.1544
125,1020,649.9251
127,1040,642.5143
129,1060,445.1592
131,1080,768.9974
134,1100,584.0101
136,1120,628.9768
138,1140,743.8123
140,1160,788.1147
142,1180,510.228
144,1200,757.0826
146,1220,712.8252
148,1240,643.8915
150,1260,705.3981
152,1280,731.5925
154,1300,741.8861
156,1320,768.0099
158,1340,692.7289
160,1360,708.1444
163,1380,589.1246
165,1400,715.54
167,1420,768.4332
169,1440,660.0101
173,1460,374.5673
175,1480,776.402
177,1500,802.4989
179,1520,585.1714
181,1540,801.1805
184,1560,592.6735
186,1580,801.1199
189,1600,432.3423
191,1620,661.1576
193,1640,795.6174
195,1660,757.5047
197,1680,784.8185
199,1700,765.5905
202,1720,414.459
205,1740,638.7324
207,1760,736.3938
209,1780,576.0032
211,1800,331.567
213,1820,529.3806
215,1840,745.721
217,1860,709.3177
220,1880,295.8629
222,1900,608.3583
224,1920,591.017
228,1940,456.6495
230,1960,266.9136
233,1980,428.3414
235,2000,504.7848
237,2020,530.3359
239,2040,445.2593
241,2060,730.3557
244,2080,428.7146
246,2100,506.9636
249,2120,378.5262
251,2140,692.9083
253,2160,648.44
255,2180,723.1276
257,2200,362.4769
260,2220,647.2233
262,2240,476.6713
266,2260,375.7683
268,2280,640.5596
270,2300,447.9044
272,2320,552.1409
274,2340,746.0339
276,2360,806.3867
278,2380,760.7791
280,2400,536.3882
282,2420,710.0019
287,2440,353.4646
290,2460,345.3121
292,2480,603.9153
294,2500,686.2595
297,2520,410.1514
299,2540,611.413
301,2560,713.4043
303,2580,694.4647
305,2600,456.2417
307,2620,730.4392
309,2640,709.0676
311,2660,725.1594
313,2680,717.5498
317,2700,433.1789
320,2720,265.9483
323,2740,591.4535
325,2760,467.7335
328,2780,637.3276
