generation,timestep,reward
4,20,305.2168
7,40,406.6065
10,60,354.8593
13,80,325.1367
16,100,512.1262
19,120,371.729
21,140,624.1949
24,160,431.7953
27,180,479.9462
30,200,460.5649
32,220,638.7914
34,240,276.493
38,260,434.4644
40,280,604.1931
44,300,229.5171
47,320,594.3724
50,340,196.3392
52,360,647.5025
57,380,329.8762
59,400,590.5052
62,420,437.2603
65,440,432.5258
69,460,249.2605
71,480,646.2706
74,500,451.4266
77,520,287.2347
79,540,505.0451
82,560,532.1877
86,580,251.643
91,600,322.2865
93,620,394.0651
95,640,583.0196
99,660,412.8039
102,680,351.6801
105,700,432.1894
108,720,352.8916
110,740,599.83
112,760,504.8013
115,780,511.4116
117,800,619.6603
121,820,259.5187
125,840,363.1925
128,860,274.2717
132,880,398.3819
134,900,682.4318
137,920,314.0453
141,940,373.4071
143,960,476.0637
146,980,463.262
149,1000,367.0284
152,1020,399.621
155,1040,503.9645
160,1060,290.2397
163,1080,295.4098
166,1100,321.9401
169,1120,456.9831
171,1140,536.7274
175,1160,387.3106
179,1180,307.687
182,1200,400.1672
184,1220,525.7352
186,1240,491.9326
189,1260,409.697
191,1280,636.7482
194,1300,464.1471
197,1320,449.1708
200,1340,443.8199
202,1360,602.7399
204,1380,471.3603
208,1400,429.1698
211,1420,390.0367
213,1440,545.3908
216,1460,272.3932
220,1480,359.2165
224,1500,317.3922
227,1520,385.1466
230,1540,441.2288
233,1560,486.4383
236,1580,362.263
239,1600,381.6415
241,1620,292.1484
243,1640,662.0926
245,1660,611.3535
248,1680,552.7894
250,1700,517.7306
252,1720,444.8976
256,1740,350.2232
258,1760,546.749
262,1780,404.2989
266,1800,309.0796
269,1820,436.3109
272,1840,410.5737
275,1860,367.2676
278,1880,350.1764
281,1900,476.4064
284,1920,265.7401
289,1940,247.1575
292,1960,484.4355
295,1980,350.5042
297,2000,653.9654
299,2020,626.7997
301,2040,666.4957
303,2060,558.4273
305,2080,612.6179
307,2100,646.0312
309,2120,642.5621
311,2140,715.1548
313,2160,635.9697
315,2180,707.6845
318,2200,287.0148
322,2220,424.7466
324,2240,414.1316
327,2260,580.7947
329,2280,497.9997
332,2300,465.0536
334,2320,409.6112
337,2340,399.7717
339,2360,680.8121
342,2380,486.5931
344,2400,472.5434
348,2420,336.395
350,2440,617.4284
354,2460,234.8086
357,2480,592.0718
359,2500,656.8448
361,2520,425.4394
366,2540,300.1236
368,2560,585.6237
371,2580,407.4597
374,2600,531.5607
376,2620,378.0387
379,2640,474.8234
382,2660,366.3763
384,2680,683.8614
386,2700,539.1041
389,2720,398.8882
391,2740,709.4314
394,2760,479.8242
396,2780,591.7134
399,2800,438.064
401,2820,716.9555
404,2840,427.2161
406,2860,725.8645
408,2880,507.375
412,2900,379.2557
414,2920,716.8928
417,2940,311.4771
420,2960,530.0228
422,2980,692.2752
425,3000,376.7249
428,3020,355.7125
431,3040,495.1861
433,3060,433.6734
437,3080,276.1941
441,3100,449.9018
443,3120,653.6878
446,3140,300.2109
448,3160,671.074
451,3180,444.8059
453,3200,670.7985
456,3220,356.2104
458,3240,723.7442
461,3260,488.3289
463,3280,697.0346
466,3300,268.9561
470,3320,439.0189
472,3340,737.7565
475,3360,473.62
477,3380,652.9966
480,3400,441.5713
482,3420,679.4835
484,3440,695.524
486,3460,305.1719
488,3480,627.2688
490,3500,670.3281
492,3520,686.7085
495,3540,515.1135
497,3560,729.3409
500,3580,457.2386
502,3600,727.3769
506,3620,401.4559
508,3640,727.3192
510,3660,361.8191
513,3680,486.5388
517,3700,381.1562
520,3720,453.1394
522,3740,725.4984
524,3760,621.9042
527,3780,340.3316
530,3800,488.1807
533,3820,355.1402
535,3840,732.0683
538,3860,441.5558
540,3880,724.0674
542,3900,543.0366
544,3920,619.55
547,3940,342.356
550,3960,585.1743
554,3980,401.5748
556,4000,655.749
558,4020,684.8572
560,4040,712.071
562,4060,398.799
565,4080,443.6115
567,4100,733.6123
571,4120,453.008
573,4140,731.8299
575,4160,675.0058
578,4180,296.4735
580,4200,726.5571
584,4220,415.2132
586,4240,734.7405
588,4260,408.5688
590,4280,750.7511
593,4300,434.574
595,4320,735.8726
599,4340,428.9899
601,4360,704.4289
604,4380,481.2466
607,4400,483.6794
609,4420,766.0959
611,4440,470.3571
613,4460,677.2458
616,4480,563.5373
619,4500,475.0366
621,4520,742.2047
624,4540,404.7774
626,4560,728.9569
629,4580,426.0574
631,4600,713.4708
634,4620,548.0034
636,4640,731.9531
639,4660,380.7644
642,4680,410.8224
644,4700,710.2687
646,4720,732.6761
649,4740,314.9736
651,4760,772.5529
653,4780,785.6623
655,4800,623.522
658,4820,592.3495
660,4840,721.4262
663,4860,325.9079
666,4880,345.7194
668,4900,773.9768
672,4920,469.8441
674,4940,720.1742
676,4960,498.6277
679,4980,535.5081
681,5000,735.5292
684,5020,464.188
686,5040,758.0268
689,5060,365.4882
691,5080,721.036
694,5100,583.1394
697,5120,531.7156
699,5140,451.0964
703,5160,433.6452
706,5180,490.7767
709,5200,411.8564
711,5220,766.7354
714,5240,462.9203
716,5260,694.9568
718,5280,534.741
722,5300,411.2003
724,5320,669.856
727,5340,304.4871
730,5360,543.3506
733,5380,350.0769
736,5400,498.527
738,5420,701.6567
740,5440,707.7041
742,5460,625.111
744,5480,465.6439
747,5500,512.6102
750,5520,578.4581
752,5540,467.6138
754,5560,757.3144
758,5580,406.0805
760,5600,724.3319
762,5620,699.028
764,5640,642.3987
766,5660,723.6317
769,5680,428.8402
771,5700,690.2706
773,5720,578.6862
775,5740,538.0332
777,5760,628.8709
779,5780,620.0231
782,5800,586.0741
784,5820,544.9873
787,5840,472.8084
789,5860,538.8116
791,5880,629.382
795,5900,343.6277
797,5920,460.8099
799,5940,742.2092
803,5960,458.379
805,5980,533.9033
807,6000,745.4504
811,6020,296.1642
813,6040,758.207
816,6060,413.9117
818,6080,733.9396
821,6100,293.6844
823,6120,755.7415
826,6140,482.7354
829,6160,513.2609
832,6180,243.6393
834,6200,654.3104
839,6220,404.2775
841,6240,726.6357
843,6260,523.1806
846,6280,360.7951
849,6300,488.23
853,6320,380.565
855,6340,651.4889
858,6360,366.7517
860,6380,725.2853
863,6400,245.1007
865,6420,757.2837
869,6440,427.8341
871,6460,746.7563
874,6480,372.7096
877,6500,518.2907
879,6520,627.0603
881,6540,740.2666
883,6560,539.8965
885,6580,578.1768
888,6600,631.782
890,6620,616.5182
892,6640,678.4801
895,6660,355.094
898,6680,467.7756
901,6700,375.5508
903,6720,622.7453
906,6740,387.2568
908,6760,532.5105
912,6780,388.0423
914,6800,670.1991
916,6820,455.9819
919,6840,610.3627
922,6860,489.1277
924,6880,474.6635
927,6900,520.257
929,6920,437.0031
932,6940,413.4348
935,6960,544.1927
937,6980,357.6281
939,7000,553.908
943,7020,376.7893
946,7040,454.6685
948,7060,473.0621
950,7080,695.9781
953,7100,458.7966
955,7120,738.8394
958,7140,377.6237
960,7160,509.9805
963,7180,561.5093
965,7200,454.485
968,7220,434.8407
971,7240,518.1046
973,7260,335.2396
977,7280,430.0983
979,7300,630.0784
981,7320,674.0565
983,7340,487.7581
986,7360,551.3693
988,7380,743.8928
991,7400,325.9599
993,7420,587.8961
997,7440,414.6303
999,7460,673.8576
1002,7480,511.2173
1004,7500,668.0651
1007,7520,361.5876
1009,7540,677.9491
1012,7560,514.4487
1014,7580,446.734
1017,7600,610.1077
1020,7620,261.6183
1022,7640,623.2815
1024,7660,751.9926
