generation,timestep,reward
2,20,681.1464
4,40,682.509
6,60,577.502
8,80,711.1457
10,100,759.7504
12,120,722.5199
14,140,754.6182
16,160,611.6361
18,180,733.092
20,200,658.2386
22,220,732.0828
24,240,620.4189
26,260,767.367
28,280,756.6317
30,300,751.6133
32,320,760.1889
34,340,693.5828
36,360,768.0405
38,380,747.0467
40,400,698.3526
42,420,680.3374
44,440,681.6038
46,460,728.6476
48,480,735.4282
50,500,686.6834
52,520,667.4127
54,540,680.974
56,560,633.1962
58,580,704.6994
60,600,603.3173
62,620,615.2085
64,640,731.8667
66,660,696.3279
68,680,719.6787
70,700,675.0324
72,720,640.8767
74,740,703.9147
76,760,713.6156
78,780,717.9992
80,800,731.8715
82,820,733.1642
84,840,699.526
86,860,720.0363
88,880,719.9874
90,900,734.9448
92,920,726.0877
94,940,726.2503
96,960,692.1379
98,980,702.5098
100,1000,739.6773
102,1020,739.3041
104,1040,727.6409
106,1060,657.1145
108,1080,731.4447
110,1100,732.5957
112,1120,639.0313
114,1140,737.6726
116,1160,726.664
118,1180,735.7388
120,1200,737.094
122,1220,700.3683
124,1240,592.7071
126,1260,733.0121
128,1280,674.822
130,1300,725.6802
132,1320,728.9519
134,1340,720.0833
136,1360,727.94
138,1380,726.4995
140,1400,733.3034
142,1420,711.4814
144,1440,738.2258
146,1460,727.1278
148,1480,707.9522
150,1500,594.2324
152,1520,732.1291
154,1540,725.4496
156,1560,711.0543
158,1580,725.5133
160,1600,731.3093
162,1620,731.8852
164,1640,729.6615
166,1660,732.3864
168,1680,733.4702
170,1700,726.9684
172,1720,724.671
174,1740,740.3369
176,1760,725.0339
178,1780,731.1312
180,1800,730.1651
182,1820,735.1942
184,1840,648.9867
186,1860,730.5008
188,1880,727.1656
190,1900,727.5409
192,1920,731.9229
194,1940,647.7263
196,1960,728.6019
198,1980,729.1632
200,2000,738.289
202,2020,732.3593
204,2040,726.0721
206,2060,731.0816
208,2080,742.4081
210,2100,740.6261
212,2120,733.767
214,2140,734.6973
216,2160,728.8544
218,2180,678.5281
220,2200,731.463
222,2220,683.4284
224,2240,721.169
226,2260,726.5309
228,2280,644.4437
230,2300,657.7927
232,2320,735.5447
234,2340,651.723
236,2360,726.4529
238,2380,743.3863
240,2400,721.6559
242,2420,653.5851
244,2440,735.4602
246,2460,731.5971
248,2480,724.8983
250,2500,632.7171
252,2520,720.3605
254,2540,708.2071
256,2560,723.1186
258,2580,732.2065
260,2600,725.4746
262,2620,738.8559
264,2640,719.7922
266,2660,734.2853
