generation,timestep,reward
2,20,328.1219
4,40,247.6965
6,60,250.994
8,80,280.0393
10,100,288.4547
12,120,323.6969
14,140,292.962
16,160,267.4969
18,180,316.3988
20,200,293.0032
22,220,249.0008
24,240,301.0541
26,260,302.5808
28,280,306.6432
30,300,411.7957
32,320,295.554
34,340,331.1574
36,360,299.2054
38,380,250.5996
40,400,241.1652
42,420,280.1578
44,440,305.8059
46,460,241.9959
48,480,311.9598
50,500,281.7824
52,520,297.2542
54,540,245.4271
56,560,286.4994
58,580,276.2488
60,600,307.792
62,620,278.6374
64,640,349.1455
66,660,334.6362
68,680,295.6672
70,700,279.7405
72,720,281.4984
74,740,274.5772
76,760,271.1795
78,780,318.9785
80,800,240.6583
82,820,284.0385
84,840,268.4992
86,860,286.839
88,880,309.1465
90,900,254.332
92,920,310.0153
94,940,272.3452
96,960,322.2093
98,980,262.9841
100,1000,284.2979
102,1020,335.9522
104,1040,330.2564
106,1060,304.5729
108,1080,247.7081
110,1100,258.0231
112,1120,284.0302
114,1140,307.2653
116,1160,315.2357
118,1180,295.7265
120,1200,311.9309
122,1220,276.2747
124,1240,301.8278
126,1260,283.8083
128,1280,302.5643
130,1300,317.1739
132,1320,286.2356
134,1340,299.7486
136,1360,323.5158
138,1380,309.0481
140,1400,288.9706
142,1420,292.7946
144,1440,353.7565
146,1460,305.442
148,1480,297.3286
150,1500,303.0586
152,1520,303.7216
154,1540,318.2937
156,1560,291.4713
158,1580,327.511
160,1600,275.6762
162,1620,356.8662
164,1640,276.8027
166,1660,291.1151
168,1680,308.7864
170,1700,293.1077
172,1720,301.4494
174,1740,210.1615
176,1760,289.2749
178,1780,407.3667
180,1800,295.9001
182,1820,283.8128
184,1840,242.9957
186,1860,257.9613
188,1880,294.9793
190,1900,314.9776
192,1920,316.3221
194,1940,295.7846
196,1960,207.7029
198,1980,295.6685
200,2000,292.1545
202,2020,294.5452
204,2040,288.598
206,2060,313.4807
208,2080,276.1414
210,2100,295.6669
212,2120,307.9238
214,2140,331.96
216,2160,306.1037
218,2180,270.7367
220,2200,318.8469
222,2220,253.7204
224,2240,327.981
226,2260,284.2965
228,2280,281.3839
230,2300,269.6123
232,2320,298.4811
234,2340,320.5823
236,2360,271.3443
238,2380,297.3571
240,2400,321.0017
242,2420,292.7633
244,2440,291.6436
246,2460,270.87
248,2480,275.0506
250,2500,267.4309
252,2520,277.2384
254,2540,303.6523
256,2560,309.9973
258,2580,314.5446
260,2600,302.6708
262,2620,279.2858
264,2640,250.4968
266,2660,296.1155
268,2680,299.3757
270,2700,308.8046
272,2720,302.0953
274,2740,244.7532
276,2760,263.4134
278,2780,260.1735
280,2800,293.915
282,2820,230.9175
284,2840,337.8081
286,2860,280.9087
288,2880,320.7724
290,2900,317.8215
292,2920,312.6573
294,2940,333.7872
296,2960,300.0294
298,2980,294.2539
300,3000,280.7948
302,3020,295.4303
304,3040,284.143
306,3060,296.7219
308,3080,339.7084
310,3100,296.8761
312,3120,341.0605
314,3140,346.8203
316,3160,273.9213
318,3180,303.9541
320,3200,310.8833
322,3220,304.9184
324,3240,287.1017
326,3260,315.5092
328,3280,356.2896
330,3300,307.6915
332,3320,293.0404
334,3340,307.02
336,3360,267.7323
338,3380,301.7329
340,3400,310.4967
342,3420,286.9082
344,3440,323.6422
346,3460,284.0166
348,3480,284.7935
350,3500,295.534
352,3520,283.1193
354,3540,296.9167
356,3560,285.3645
358,3580,262.9555
360,3600,257.7197
362,3620,303.4006
364,3640,327.6883
366,3660,316.2802
368,3680,287.0004
370,3700,337.844
372,3720,287.9507
374,3740,308.2162
376,3760,290.953
378,3780,294.5749
380,3800,315.0242
382,3820,296.5908
384,3840,317.4647
386,3860,309.8308
388,3880,316.9574
390,3900,305.0571
392,3920,321.9644
394,3940,261.5961
396,3960,296.7534
398,3980,292.441
400,4000,316.0622
402,4020,299.5824
404,4040,287.7024
406,4060,326.7875
408,4080,285.4716
410,4100,277.7346
412,4120,287.5692
414,4140,293.227
416,4160,269.5259
418,4180,314.6023
420,4200,306.6012
422,4220,309.3715
424,4240,380.1386
426,4260,312.804
428,4280,261.67
430,4300,285.1409
432,4320,305.5051
434,4340,258.3014
436,4360,291.1054
438,4380,232.8897
440,4400,305.762
442,4420,315.2419
444,4440,275.9181
446,4460,323.8268
448,4480,289.5458
450,4500,285.6982
452,4520,300.5572
454,4540,307.0434
456,4560,302.5915
458,4580,309.0903
460,4600,333.0939
462,4620,286.8094
464,4640,329.1395
466,4660,283.8749
468,4680,270.0108
470,4700,294.5553
472,4720,286.5215
474,4740,295.4685
476,4760,319.664
478,4780,320.5092
480,4800,270.8571
482,4820,315.4116
484,4840,304.1965
486,4860,284.5065
488,4880,284.3802
490,4900,261.9885
492,4920,287.7098
494,4940,336.5074
496,4960,232.4713
498,4980,327.4071
500,5000,356.1905
502,5020,305.6013
504,5040,290.1631
506,5060,271.2343
508,5080,319.9492
510,5100,316.4415
512,5120,301.6348
514,5140,304.1726
516,5160,295.9669
518,5180,291.794
520,5200,319.149
522,5220,258.7989
524,5240,289.8913
