generation,timestep,reward
2,20,212.9915
4,40,433.2453
6,60,423.7757
8,80,365.3776
10,100,346.5163
12,120,264.9666
14,140,344.4293
16,160,361.9547
18,180,216.5169
20,200,434.2127
22,220,345.1665
24,240,220.5692
26,260,331.7159
28,280,263.5716
30,300,513.4929
32,320,206.651
34,340,256.5823
36,360,344.7207
38,380,274.6422
40,400,313.9194
42,420,287.731
44,440,358.5789
46,460,339.6255
48,480,417.9642
50,500,263.8416
52,520,404.3546
54,540,340.3679
56,560,276.5034
58,580,326.1242
60,600,356.2696
62,620,370.1274
64,640,250.4775
66,660,297.5382
68,680,236.3579
70,700,219.3196
72,720,191.7945
74,740,270.7743
76,760,385.2923
78,780,163.9756
80,800,287.6801
82,820,183.3113
84,840,289.2075
86,860,319.577
88,880,364.5936
90,900,350.9764
92,920,328.4521
94,940,209.6814
96,960,313.2569
98,980,252.4934
100,1000,351.0716
