generation,timestep,reward
2,20,242.1737
4,40,448.4025
6,60,281.1236
8,80,266.715
10,100,148.5461
12,120,201.8333
14,140,340.8198
16,160,221.6948
18,180,250.3877
20,200,370.7183
22,220,274.2756
24,240,222.3138
26,260,207.2596
28,280,167.0622
30,300,214.2848
32,320,189.1181
34,340,190.185
36,360,246.1304
38,380,164.0949
40,400,207.5735
42,420,182.4787
44,440,198.2131
46,460,187.2889
48,480,178.1333
50,500,218.9731
52,520,243.6454
54,540,238.733
56,560,278.4398
58,580,148.323
60,600,233.3472
62,620,314.0031
64,640,293.5652
66,660,337.8322
68,680,310.2554
70,700,322.1363
72,720,318.162
74,740,451.6329
76,760,259.9882
78,780,263.2267
80,800,380.1629
82,820,291.3631
84,840,208.4961
86,860,263.9974
88,880,301.698
90,900,375.5963
92,920,334.1074
94,940,323.4061
96,960,240.2447
98,980,154.4889
100,1000,281.201
102,1020,320.7032
104,1040,296.6177
106,1060,329.4641
108,1080,276.7806
110,1100,304.7071
112,1120,251.1521
114,1140,232.2701
116,1160,271.5466
118,1180,272.7646
120,1200,320.6689
122,1220,249.8379
124,1240,299.6575
126,1260,303.4521
128,1280,254.758
130,1300,206.4909
132,1320,259.5489
134,1340,306.1887
136,1360,294.6889
138,1380,320.888
140,1400,306.8593
142,1420,343.5417
144,1440,415.8871
146,1460,264.8209
148,1480,395.2855
150,1500,288.0525
152,1520,163.0688
154,1540,186.063
156,1560,274.1167
158,1580,284.0879
160,1600,262.5872
162,1620,336.1449
164,1640,224.7938
166,1660,261.5139
168,1680,205.7218
170,1700,347.4154
172,1720,491.4632
174,1740,546.7966
176,1760,578.884
178,1780,503.7528
180,1800,529.6158
182,1820,440.8695
184,1840,514.0376
186,1860,500.5789
188,1880,418.4307
190,1900,395.2709
192,1920,520.5356
194,1940,538.7008
196,1960,495.9884
198,1980,491.9358
200,2000,434.7709
202,2020,481.1339
204,2040,488.339
206,2060,484.0653
208,2080,430.9008
210,2100,418.161
212,2120,424.4889
214,2140,245.6056
216,2160,389.5781
218,2180,336.761
220,2200,380.5429
222,2220,377.474
224,2240,408.2634
226,2260,319.0737
228,2280,331.1527
230,2300,411.9322
232,2320,401.505
234,2340,381.0892
236,2360,430.8377
238,2380,324.8468
240,2400,332.4255
242,2420,411.2502
244,2440,272.092
246,2460,286.8358
248,2480,180.8225
250,2500,290.2187
252,2520,264.6369
254,2540,312.571
256,2560,249.8336
258,2580,191.3417
260,2600,165.7341
262,2620,241.0779
264,2640,347.0026
266,2660,195.4085
268,2680,349.7837
270,2700,220.946
272,2720,227.9348
274,2740,352.1536
276,2760,322.8605
278,2780,293.1899
280,2800,180.3635
282,2820,343.8587
284,2840,376.1501
286,2860,320.1131
288,2880,438.4491
290,2900,363.1974
292,2920,104.2141
294,2940,382.6759
296,2960,439.3331
298,2980,349.1273
300,3000,305.5062
302,3020,464.4678
304,3040,376.9348
306,3060,295.7393
308,3080,454.6965
310,3100,310.8738
312,3120,459.2302
314,3140,321.3672
316,3160,365.6824
318,3180,383.7894
320,3200,535.6375
322,3220,557.4355
324,3240,393.0279
326,3260,532.9095
328,3280,512.2914
