generation,timestep,reward
2,20,45.4322
4,40,32.6297
6,60,33.0778
8,80,19.7735
10,100,23.0352
12,120,20.366
14,140,50.7428
16,160,24.4718
18,180,32.8423
20,200,19.8571
22,220,27.1664
24,240,35.1794
26,260,51.2425
28,280,49.7197
30,300,60.9292
32,320,70.1014
34,340,68.2755
36,360,55.1819
38,380,39.7658
40,400,48.5813
42,420,73.1337
44,440,47.0019
46,460,30.2007
48,480,47.9368
50,500,53.364
52,520,46.2062
54,540,51.5045
56,560,50.6865
58,580,38.3031
60,600,63.8908
62,620,33.6958
64,640,61.1464
66,660,56.0165
68,680,39.5305
70,700,30.2623
72,720,44.3327
74,740,37.6211
76,760,47.2756
78,780,27.409
80,800,23.9664
82,820,47.3727
84,840,28.0302
86,860,37.51
88,880,36.9671
90,900,27.2537
92,920,13.7258
94,940,47.1186
96,960,30.6223
98,980,33.0157
100,1000,37.7046
102,1020,37.7052
104,1040,40.7468
106,1060,36.6658
108,1080,40.8064
110,1100,33.7555
112,1120,47.2697
114,1140,34.2848
116,1160,33.9843
118,1180,41.1159
120,1200,49.4529
122,1220,41.741
124,1240,44.8267
126,1260,20.7081
128,1280,30.8683
130,1300,54.8699
132,1320,23.8603
134,1340,20.9317
136,1360,33.4969
138,1380,40.7322
140,1400,40.655
142,1420,30.4605
144,1440,67.2051
146,1460,54.3744
148,1480,38.0688
150,1500,44.481
152,1520,34.5587
154,1540,57.1673
156,1560,40.4392
158,1580,50.2128
160,1600,34.0637
162,1620,55.899
164,1640,27.8905
166,1660,61.6599
168,1680,44.7646
170,1700,20.6162
172,1720,61.8959
174,1740,34.4079
176,1760,17.0356
178,1780,43.9526
180,1800,51.7298
182,1820,30.5721
184,1840,37.1068
186,1860,36.9348
188,1880,52.5711
190,1900,41.0424
192,1920,34.0736
194,1940,31.8863
196,1960,17.1128
198,1980,52.3615
200,2000,29.2883
202,2020,37.7635
204,2040,47.8679
206,2060,44.2267
208,2080,37.6759
210,2100,38.5222
212,2120,30.6427
214,2140,48.9871
216,2160,44.1735
218,2180,45.0339
220,2200,28.9964
222,2220,36.985
224,2240,28.8307
226,2260,24.1865
228,2280,37.0309
230,2300,41.6129
232,2320,42.7818
234,2340,47.5432
236,2360,46.6424
238,2380,22.0812
240,2400,39.9302
242,2420,68.337
244,2440,33.4601
246,2460,34.6908
248,2480,45.2207
250,2500,54.7402
252,2520,47.4033
254,2540,42.5254
256,2560,53.3506
258,2580,42.7738
260,2600,49.0736
262,2620,40.4524
264,2640,22.3437
266,2660,36.2329
268,2680,39.1832
270,2700,33.4836
272,2720,34.3072
274,2740,42.7465
276,2760,25.5011
278,2780,35.491
280,2800,57.0708
282,2820,51.966
284,2840,44.1508
286,2860,67.1453
288,2880,66.5248
290,2900,66.0952
292,2920,53.5708
294,2940,61.0269
296,2960,63.9233
298,2980,59.9193
300,3000,52.887
302,3020,74.0832
304,3040,64.3504
306,3060,53.9641
308,3080,44.7811
310,3100,74.3186
312,3120,64.1221
314,3140,75.3126
