generation,timestep,reward
2,20,46.5174
4,40,20.8948
6,60,34.627
8,80,41.0739
10,100,39.0772
12,120,38.5091
14,140,41.5146
16,160,68.1382
18,180,24.1266
20,200,29.8978
22,220,18.3625
24,240,44.1328
26,260,51.5417
28,280,20.8045
30,300,18.1416
32,320,34.3496
34,340,54.4353
36,360,27.7342
38,380,38.338
40,400,30.7685
42,420,30.7748
44,440,38.0232
46,460,40.7677
48,480,33.933
50,500,37.2615
52,520,21.7661
54,540,45.9239
56,560,25.8285
58,580,23.6996
60,600,33.9299
62,620,52.1518
64,640,35.7546
66,660,31.4543
68,680,38.7831
70,700,48.9396
72,720,64.7137
74,740,33.8479
76,760,53.6668
78,780,30.6604
80,800,60.9292
82,820,53.3744
84,840,64.8797
86,860,49.3365
88,880,39.4988
90,900,37.201
92,920,38.1875
94,940,37.0736
96,960,52.0667
98,980,67.2663
100,1000,27.591
102,1020,64.5363
104,1040,66.4192
106,1060,56.4102
108,1080,45.7147
110,1100,43.327
112,1120,50.7362
114,1140,60.7949
116,1160,41.5652
118,1180,49.4659
120,1200,53.2026
122,1220,46.2858
124,1240,52.0733
126,1260,49.5567
128,1280,51.0547
130,1300,69.7479
132,1320,72.5258
134,1340,61.0062
136,1360,48.5293
138,1380,60.9631
140,1400,55.329
142,1420,41.8932
144,1440,59.8243
146,1460,46.1818
148,1480,57.5663
150,1500,38.0438
152,1520,35.1456
154,1540,48.3987
156,1560,55.3942
158,1580,31.3062
160,1600,68.8037
162,1620,42.8524
164,1640,55.565
166,1660,60.4049
168,1680,30.8185
170,1700,38.09
172,1720,49.1411
174,1740,57.8106
176,1760,45.3067
178,1780,37.5093
180,1800,52.9742
182,1820,28.3161
184,1840,20.1865
186,1860,38.2094
188,1880,16.9142
190,1900,49.7282
192,1920,48.8374
194,1940,55.374
196,1960,48.2752
198,1980,44.1315
200,2000,34.8411
202,2020,30.9806
204,2040,49.2424
206,2060,27.1598
208,2080,58.0515
210,2100,57.9871
212,2120,27.0344
214,2140,54.8255
216,2160,50.7105
218,2180,44.2922
220,2200,59.386
222,2220,47.4978
224,2240,56.3111
226,2260,40.8085
228,2280,41.3135
230,2300,44.7838
232,2320,37.1901
234,2340,41.2317
236,2360,41.3069
238,2380,58.8176
240,2400,44.9224
242,2420,57.5654
244,2440,62.6084
246,2460,33.2324
248,2480,52.2385
250,2500,58.6663
252,2520,47.1748
254,2540,52.2729
256,2560,70.5676
258,2580,34.3462
260,2600,31.2581
262,2620,31.2682
264,2640,61.0747
266,2660,62.9005
268,2680,42.9775
270,2700,67.4364
272,2720,42.8868
274,2740,48.5282
276,2760,67.1101
278,2780,73.2926
280,2800,48.116
282,2820,66.9606
284,2840,48.8985
286,2860,47.4149
288,2880,50.6985
290,2900,63.6599
292,2920,57.6197
294,2940,52.4438
296,2960,51.8014
298,2980,52.0492
300,3000,46.4642
302,3020,65.1356
304,3040,69.2136
306,3060,46.7374
308,3080,65.6498
310,3100,63.5605
312,3120,64.9999
314,3140,70.9403
316,3160,45.6171
318,3180,62.964
320,3200,68.0899
322,3220,50.2303
324,3240,60.3944
326,3260,66.4013
328,3280,68.0331
330,3300,44.8078
332,3320,67.0106
334,3340,69.7521
336,3360,59.8824
338,3380,54.2281
340,3400,62.5199
342,3420,73.7855
344,3440,66.3321
346,3460,73.3836
348,3480,69.6333
350,3500,59.273
352,3520,70.4373
354,3540,68.6907
356,3560,50.121
358,3580,74.1508
360,3600,48.2368
362,3620,58.6576
364,3640,72.2144
366,3660,67.3147
368,3680,64.3175
370,3700,65.3484
372,3720,34.3421
374,3740,68.1976
376,3760,56.0702
378,3780,53.0884
380,3800,39.2856
382,3820,56.0049
384,3840,67.0079
386,3860,46.2967
388,3880,62.3788
390,3900,38.4726
392,3920,62.4756
394,3940,66.9096
396,3960,36.3185
398,3980,41.3583
400,4000,72.4881
402,4020,59.3345
404,4040,70.3622
406,4060,68.5685
408,4080,43.9345
410,4100,63.9155
412,4120,53.4909
414,4140,58.7958
416,4160,67.156
418,4180,34.5325
420,4200,64.0577
422,4220,52.7465
424,4240,69.6113
426,4260,36.3261
428,4280,59.6145
430,4300,66.002
432,4320,67.441
434,4340,58.0683
436,4360,54.6065
438,4380,51.8518
440,4400,66.0786
442,4420,61.2716
444,4440,53.9625
446,4460,53.9185
448,4480,70.2247
450,4500,37.7534
452,4520,54.6137
454,4540,69.0433
456,4560,36.3045
458,4580,67.301
460,4600,63.7682
462,4620,53.2903
464,4640,71.1726
466,4660,68.1245
468,4680,48.4751
470,4700,50.2062
472,4720,56.5762
474,4740,50.4066
476,4760,42.4293
478,4780,44.9313
480,4800,58.1863
482,4820,52.6247
484,4840,57.8559
486,4860,53.7555
488,4880,57.5141
490,4900,31.3349
492,4920,54.9588
494,4940,64.4399
496,4960,45.0893
498,4980,62.2473
500,5000,72.7555
502,5020,66.3444
504,5040,48.5136
506,5060,46.0624
508,5080,44.8879
510,5100,62.8471
512,5120,64.2664
514,5140,60.428
