generation,timestep,reward
2,20,42.0378
4,40,30.1187
6,60,34.2838
8,80,42.4095
10,100,22.9674
12,120,55.4336
14,140,12.2036
16,160,38.3222
18,180,22.4525
20,200,31.3772
23,220,27.6093
25,240,30.4597
27,260,35.3687
29,280,60.6561
31,300,44.9115
33,320,55.2326
35,340,27.0209
37,360,41.9732
39,380,34.9783
41,400,57.4419
43,420,65.4005
46,440,27.5917
48,460,23.5158
50,480,45.5122
52,500,44.0072
54,520,40.8068
56,540,37.918
58,560,20.276
60,580,51.7817
62,600,44.4772
64,620,23.7437
66,640,18.0003
68,660,20.7971
70,680,43.6402
72,700,23.9849
74,720,48.1699
76,740,27.5961
78,760,24.3542
80,780,27.2077
82,800,23.7754
84,820,27.8061
86,840,24.1682
88,860,24.8461
90,880,31.0559
92,900,24.2598
94,920,3.5079
96,940,31.1818
98,960,20.7351
100,980,3.4707
102,1000,34.7425
104,1020,10.2529
106,1040,17.3822
108,1060,27.1406
110,1080,20.9189
112,1100,27.4
114,1120,13.8033
116,1140,3.5017
118,1160,41.432
120,1180,20.7063
122,1200,27.6551
124,1220,31.2987
126,1240,24.1735
128,1260,21.0802
130,1280,17.3153
132,1300,27.5048
134,1320,38.2865
136,1340,31.1629
138,1360,47.6138
140,1380,31.0388
142,1400,6.7574
144,1420,24.5509
146,1440,27.2984
148,1460,48.3339
150,1480,34.451
152,1500,44.6568
154,1520,41.4363
156,1540,37.6905
158,1560,53.9351
160,1580,31.0151
162,1600,42.7226
164,1620,47.9811
166,1640,48.0257
168,1660,37.3309
170,1680,53.1315
172,1700,41.4
174,1720,23.5568
176,1740,44.1859
178,1760,31.0199
180,1780,47.0594
182,1800,23.583
184,1820,38.7128
186,1840,30.6251
188,1860,43.9794
190,1880,60.2544
192,1900,23.3233
194,1920,37.603
196,1940,30.3146
198,1960,30.3243
200,1980,43.296
202,2000,30.0288
204,2020,50.1523
206,2040,36.0911
208,2060,48.0053
210,2080,26.9748
212,2100,9.876
214,2120,38.9622
216,2140,22.6101
218,2160,16.2324
220,2180,32.7871
222,2200,25.5607
224,2220,25.7081
226,2240,16.1238
228,2260,38.6063
230,2280,38.1771
232,2300,20.1955
234,2320,32.8999
236,2340,20.2626
238,2360,32.3763
240,2380,35.1093
242,2400,9.6522
244,2420,26.4265
246,2440,20.0705
248,2460,16.897
250,2480,6.7998
252,2500,10.6556
254,2520,10.0828
256,2540,13.3045
258,2560,40.8681
260,2580,25.7637
262,2600,13.252
264,2620,40.2921
266,2640,23.6977
268,2660,3.2745
270,2680,52.4542
272,2700,53.4345
274,2720,47.6413
276,2740,37.9732
278,2760,42.6006
280,2780,52.0313
282,2800,23.6727
284,2820,31.7653
286,2840,16.6201
288,2860,29.5964
290,2880,23.8846
292,2900,19.6325
294,2920,46.7093
296,2940,49.5972
298,2960,36.8928
300,2980,47.9346
302,3000,33.7857
