generation,timestep,reward
2,20,14.7158
4,40,18.7605
6,60,35.2294
8,80,13.1418
10,100,39.0681
12,120,44.069
14,140,43.7353
16,160,57.446
18,180,42.7947
20,200,39.3958
22,220,30.7544
24,240,44.5637
26,260,6.272
28,280,31.0663
30,300,32.0085
32,320,30.0757
34,340,42.0206
36,360,15.2255
38,380,40.7418
40,400,33.2103
42,420,20.2283
44,440,20.7839
46,460,46.7356
48,480,17.0884
50,500,34.7218
52,520,10.0647
54,540,47.6265
56,560,34.1056
58,580,36.6845
60,600,13.0844
62,620,19.7641
64,640,16.4996
66,660,20.5762
68,680,37.4013
70,700,13.4578
72,720,52.4037
74,740,55.1473
76,760,28.8536
78,780,48.777
80,800,34.1612
82,820,26.4
84,840,42.4027
86,860,13.6731
88,880,6.7447
90,900,32.2128
92,920,60.77
94,940,49.7222
96,960,29.3364
98,980,43.3498
100,1000,38.7682
102,1020,16.0885
104,1040,17.0321
106,1060,6.85
108,1080,9.8495
110,1100,6.6837
112,1120,19.9182
114,1140,42.9081
116,1160,35.7754
118,1180,60.7542
120,1200,17.1366
122,1220,20.2759
124,1240,20.3652
126,1260,6.7429
128,1280,10.0645
130,1300,20.2381
132,1320,20.1245
134,1340,20.0827
136,1360,6.7835
138,1380,24.0309
140,1400,20.2965
142,1420,29.6496
144,1440,20.6732
146,1460,25.0995
148,1480,42.857
150,1500,24.0843
152,1520,48.8375
