generation,timestep,reward
2,20,628.4522
4,40,627.8691
6,60,772.2404
8,80,678.9441
10,100,809.6731
12,120,945.5324
14,140,717.9268
16,160,1087.3214
18,180,630.3144
20,200,720.3781
22,220,671.0894
24,240,762.7792
26,260,627.4661
28,280,673.3029
30,300,653.7236
32,320,627.1804
34,340,1448.87
36,360,656.8921
38,380,762.9009
40,400,750.0868
42,420,738.2132
44,440,697.2978
46,460,672.6928
48,480,752.6845
50,500,829.7273
52,520,738.327
54,540,763.4819
56,560,796.1452
58,580,759.7092
60,600,984.7894
62,620,627.6473
64,640,696.6626
66,660,784.836
68,680,771.5618
70,700,845.3478
72,720,954.9023
74,740,697.5939
76,760,1118.064
78,780,781.8332
80,800,715.5875
82,820,728.0066
84,840,727.7378
86,860,682.0379
88,880,801.5676
90,900,786.3731
92,920,628.878
94,940,818.0314
96,960,909.2015
98,980,637.3033
100,1000,1093.0789
