generation,timestep,reward
2,20,1070.8464
4,40,871.9444
6,60,753.7039
8,80,740.1673
10,100,742.6824
12,120,865.508
14,140,731.1876
16,160,776.2905
18,180,708.1035
20,200,713.1409
22,220,1090.353
24,240,1222.3158
26,260,713.3022
28,280,718.7415
30,300,835.7477
32,320,718.3649
34,340,1061.2374
36,360,490.0292
38,380,716.2778
40,400,879.235
42,420,745.1486
44,440,812.7761
46,460,723.1054
48,480,1036.1942
50,500,721.5179
52,520,739.7609
54,540,858.8074
56,560,716.9179
58,580,770.4836
60,600,738.1379
62,620,759.9409
64,640,733.5247
66,660,1157.626
68,680,747.6444
70,700,719.7265
72,720,720.6299
74,740,822.7576
76,760,967.3151
78,780,711.1133
80,800,704.4178
82,820,792.0456
