generation,timestep,reward
2,20,1576.497
4,40,1562.9309
6,60,1435.5321
8,80,1542.5919
10,100,1548.2902
12,120,1527.6506
14,140,1568.9003
16,160,1501.6898
18,180,1526.5454
20,200,1567.2769
22,220,1044.7996
24,240,1575.2698
26,260,1560.6073
28,280,1512.2992
30,300,1321.3522
32,320,1532.7637
34,340,1556.8902
36,360,1550.4045
38,380,1499.7855
40,400,1551.8544
42,420,1480.4534
44,440,1574.2475
46,460,1528.882
48,480,1519.0075
50,500,1475.1112
52,520,1551.7432
54,540,1527.7593
56,560,1316.8551
58,580,1533.4867
60,600,1471.8663
62,620,1136.7965
64,640,1476.3139
66,660,1446.9367
68,680,1541.8783
70,700,1543.8624
72,720,1539.7198
74,740,1568.4595
76,760,1546.684
78,780,1539.1165
80,800,1531.8544
82,820,1536.5816
84,840,1653.2348
86,860,1535.7875
88,880,1592.7011
90,900,1478.2178
92,920,1542.9905
94,940,1545.5225
96,960,1543.4276
98,980,1552.8715
100,1000,1756.8659
102,1020,1552.1944
104,1040,1630.1018
106,1060,1541.1276
108,1080,1521.0494
110,1100,1730.2738
112,1120,1530.3462
114,1140,1550.7629
116,1160,1554.4983
118,1180,1581.0147
120,1200,1365.8354
122,1220,1535.9076
124,1240,1640.4369
126,1260,1439.6769
128,1280,1519.3387
130,1300,1547.8629
132,1320,1332.5051
134,1340,1515.8131
136,1360,1557.3108
138,1380,1553.2256
140,1400,1509.9155
142,1420,1557.699
144,1440,1559.4976
146,1460,1513.8605
148,1480,1439.1717
150,1500,1560.5579
152,1520,1522.2868
154,1540,1404.4224
156,1560,1534.8233
158,1580,1531.5731
160,1600,1401.8863
162,1620,1429.8324
164,1640,1547.1343
166,1660,1291.4524
168,1680,1478.1857
170,1700,1551.8847
172,1720,1474.2974
174,1740,1418.3006
176,1760,1813.5047
178,1780,1539.4019
180,1800,1790.9358
182,1820,1544.2805
184,1840,1561.578
186,1860,1466.0423
188,1880,1479.0548
190,1900,1631.7181
192,1920,1521.2438
194,1940,1534.5209
196,1960,1822.7078
198,1980,1680.7463
200,2000,1746.9489
202,2020,1499.09
204,2040,1535.3965
206,2060,1551.6387
208,2080,1374.0396
210,2100,1560.985
212,2120,1749.4307
214,2140,1564.3206
216,2160,1568.7039
218,2180,1797.5
220,2200,1545.1038
222,2220,1294.6455
224,2240,1560.545
226,2260,1556.9556
228,2280,1483.196
230,2300,1566.7077
232,2320,1389.4318
234,2340,1538.7634
236,2360,1573.6419
238,2380,965.5551
240,2400,1551.9719
242,2420,1761.3368
244,2440,1544.7072
246,2460,1343.8901
248,2480,1502.9865
250,2500,1767.6661
252,2520,1556.5983
254,2540,1861.9884
256,2560,1582.9138
258,2580,1556.6838
260,2600,1803.0411
262,2620,1528.4531
264,2640,1455.6291
266,2660,1573.0136
268,2680,1484.7828
270,2700,1521.675
272,2720,1560.4041
274,2740,1486.0389
276,2760,1427.6467
278,2780,1437.1598
280,2800,1535.527
282,2820,493.6673
284,2840,1573.9726
286,2860,1808.1898
288,2880,1078.4835
290,2900,1453.9361
292,2920,520.7747
294,2940,1566.7035
296,2960,1564.2751
298,2980,1551.1449
300,3000,1917.9051
302,3020,1548.7956
304,3040,1522.562
306,3060,1536.6638
308,3080,1523.7306
310,3100,1612.8607
312,3120,697.3878
314,3140,1428.0266
316,3160,1595.1793
318,3180,1555.73
320,3200,1560.8885
322,3220,1549.3082
324,3240,1548.3824
326,3260,1548.3808
328,3280,1560.3586
330,3300,1560.0501
332,3320,1532.7913
334,3340,1148.419
336,3360,1539.0689
338,3380,1586.4701
340,3400,1532.6426
342,3420,1533.445
344,3440,1704.8874
346,3460,1556.8653
348,3480,1432.0469
350,3500,1436.2452
352,3520,1574.3454
354,3540,1544.2682
356,3560,1445.5633
358,3580,1565.3282
360,3600,1544.2076
362,3620,1542.4169
364,3640,1570.2712
366,3660,1548.7881
368,3680,1545.1277
370,3700,1563.8457
372,3720,1540.7377
374,3740,1512.8389
376,3760,1753.6128
378,3780,1556.1295
380,3800,1534.105
382,3820,1575.5411
384,3840,1504.9597
386,3860,1616.0511
388,3880,1549.1341
390,3900,1570.934
392,3920,1534.5077
394,3940,1548.882
396,3960,1547.3457
398,3980,1513.4763
400,4000,1546.71
402,4020,1414.7965
404,4040,1526.2514
406,4060,1556.3844
408,4080,1541.7132
410,4100,1557.1308
412,4120,944.0887
414,4140,1533.6994
416,4160,1510.1219
418,4180,1936.1011
420,4200,1852.8452
422,4220,1621.8405
424,4240,1706.1856
426,4260,1826.1859
428,4280,1567.7704
430,4300,1555.9231
432,4320,1525.9185
434,4340,1530.9955
436,4360,1537.9943
438,4380,1517.3277
440,4400,1499.1922
442,4420,1552.9583
444,4440,1557.299
446,4460,1577.3066
448,4480,1543.8418
450,4500,1565.9307
452,4520,1500.5565
454,4540,608.8212
456,4560,1542.1357
458,4580,1569.67
460,4600,1531.8346
462,4620,1535.051
464,4640,1547.9896
466,4660,1558.335
468,4680,1529.0737
470,4700,1526.6444
472,4720,1455.8519
474,4740,1579.8453
476,4760,1551.2327
478,4780,1575.2624
480,4800,1579.0309
482,4820,1540.7459
484,4840,1557.0498
486,4860,1584.4366
488,4880,1095.6609
490,4900,1531.0422
492,4920,1578.8375
494,4940,1562.5298
496,4960,1532.2455
498,4980,1547.2155
500,5000,1543.3833
502,5020,1537.5699
504,5040,1544.5848
506,5060,1541.2078
508,5080,1546.8978
510,5100,1357.3152
512,5120,1546.0118
514,5140,1565.0354
516,5160,1611.8021
518,5180,1529.4665
520,5200,763.4518
522,5220,1588.201
524,5240,1613.5577
526,5260,1641.8322
528,5280,1586.6229
530,5300,1592.8568
532,5320,1610.7585
534,5340,1601.306
536,5360,1556.6212
538,5380,1605.2898
540,5400,1574.1277
542,5420,1746.6357
544,5440,1475.8147
546,5460,1546.3001
548,5480,1698.0045
550,5500,1823.5606
552,5520,1586.4963
554,5540,1894.7597
556,5560,1779.9853
558,5580,1533.5788
560,5600,1223.3473
562,5620,1817.1485
564,5640,1438.4069
566,5660,1610.3819
568,5680,1518.4856
570,5700,1694.2323
572,5720,1915.6133
574,5740,1835.3116
576,5760,1807.3917
578,5780,1612.8874
580,5800,1590.1045
582,5820,1546.8602
584,5840,1556.9167
586,5860,1559.0347
588,5880,1532.5716
590,5900,1426.5434
592,5920,1569.0754
594,5940,1393.5286
596,5960,1567.3439
598,5980,1409.9134
600,6000,1519.7492
602,6020,1533.3126
604,6040,1501.2903
606,6060,1518.9412
608,6080,1529.3787
610,6100,1515.9217
612,6120,1523.6593
614,6140,1642.8718
616,6160,1516.1668
618,6180,1599.5384
620,6200,1521.1646
622,6220,1567.9767
624,6240,1558.953
626,6260,1518.332
628,6280,1528.1502
630,6300,1545.0692
632,6320,1537.6331
634,6340,1515.9217
636,6360,1529.5191
638,6380,1507.7643
640,6400,1518.5751
642,6420,1530.4613
644,6440,1693.8112
646,6460,1584.1398
648,6480,1566.6449
650,6500,1513.2561
652,6520,1416.2222
654,6540,1530.942
656,6560,1579.1924
658,6580,1537.0336
660,6600,906.7637
662,6620,1516.5261
664,6640,1515.9217
666,6660,1542.3788
668,6680,1552.0482
670,6700,1538.1523
672,6720,1571.691
674,6740,1533.6578
676,6760,1561.1533
678,6780,1578.0782
680,6800,688.6354
682,6820,1559.3028
684,6840,1244.001
686,6860,1557.9731
688,6880,1518.417
690,6900,1313.5273
692,6920,1516.6809
694,6940,1549.0987
696,6960,1550.3031
698,6980,1545.4737
700,7000,1498.9072
702,7020,1535.6601
704,7040,1602.0674
706,7060,1517.291
708,7080,1483.4172
710,7100,1519.5321
712,7120,1718.1441
714,7140,1543.0765
716,7160,1549.255
718,7180,1553.1022
720,7200,1532.1661
722,7220,1658.2107
724,7240,1524.5938
726,7260,1423.0729
728,7280,1467.1797
730,7300,1245.9532
732,7320,1533.8992
734,7340,1537.6347
736,7360,1550.617
738,7380,1366.6664
740,7400,1540.9944
742,7420,1548.3918
744,7440,1595.7348
746,7460,1561.1521
748,7480,1550.7143
750,7500,1538.6928
752,7520,1562.661
754,7540,1719.0296
756,7560,1733.2551
758,7580,1481.117
760,7600,1592.4417
762,7620,1585.5629
764,7640,1857.9865
