generation,timestep,reward
2,20,1384.1632
4,40,1279.4514
6,60,1113.8688
8,80,1200.2809
10,100,1338.315
12,120,1147.9674
14,140,1434.3622
16,160,1185.5137
18,180,1314.3934
20,200,1330.1247
22,220,1205.1413
24,240,1241.6777
26,260,1172.6593
28,280,1104.9821
30,300,1230.4259
32,320,1156.0832
34,340,2335.1522
36,360,1168.085
38,380,1257.4209
40,400,1025.3444
42,420,1277.3373
44,440,1124.048
46,460,1523.2882
48,480,1188.8971
50,500,1142.4912
52,520,1288.212
54,540,1024.8712
56,560,1144.1682
58,580,1065.6253
60,600,1122.5422
62,620,1124.0313
64,640,1293.2161
66,660,1168.4098
68,680,1228.6832
70,700,1229.2942
72,720,1251.0661
74,740,1396.173
76,760,1158.2699
78,780,1048.258
80,800,1274.7565
82,820,1061.081
84,840,1028.5434
86,860,1261.1174
88,880,1389.6859
90,900,1133.6068
92,920,1129.0844
94,940,1177.847
96,960,1050.3704
98,980,1262.0642
100,1000,1331.9897
102,1020,1225.1259
104,1040,1320.911
106,1060,1200.9921
108,1080,1179.5199
110,1100,1182.3986
112,1120,1181.8269
114,1140,1302.2427
116,1160,1270.7447
118,1180,1284.5911
120,1200,1595.0619
122,1220,1220.1422
124,1240,1114.167
126,1260,1098.1849
128,1280,1096.836
130,1300,1164.4475
132,1320,1223.9685
134,1340,1145.0809
136,1360,1057.2369
138,1380,1482.2351
140,1400,1271.8262
142,1420,1184.89
144,1440,1360.009
146,1460,1470.7469
148,1480,1195.1497
150,1500,1082.0359
152,1520,1184.3828
154,1540,1400.7274
156,1560,1165.1251
158,1580,1078.9691
160,1600,1285.7256
162,1620,1279.4747
164,1640,1178.8797
166,1660,987.3806
168,1680,1121.4502
170,1700,1066.4244
172,1720,1279.8173
174,1740,1252.4283
176,1760,1089.3424
178,1780,1044.8444
180,1800,1261.735
182,1820,1138.3328
184,1840,1220.3314
186,1860,1190.5357
188,1880,1351.132
190,1900,1289.7119
192,1920,1204.7152
194,1940,1407.606
196,1960,1400.8429
198,1980,1399.1716
200,2000,1091.4888
202,2020,1153.4944
204,2040,1703.3659
206,2060,1266.2447
208,2080,1356.1775
210,2100,1251.5422
212,2120,1303.7284
214,2140,1252.2714
216,2160,1262.8721
218,2180,1250.8763
220,2200,1218.1499
222,2220,1172.8307
224,2240,1324.5419
226,2260,1372.6483
228,2280,1452.8279
230,2300,1379.0995
232,2320,1231.7011
234,2340,1107.7887
236,2360,1171.1298
238,2380,1139.0729
240,2400,1387.8486
242,2420,1440.6028
244,2440,1190.8965
246,2460,1215.1336
248,2480,1427.7415
250,2500,1048.677
252,2520,1147.0098
254,2540,1249.7174
256,2560,1159.5485
258,2580,1270.6742
260,2600,1281.6487
262,2620,1162.9253
264,2640,1051.3421
266,2660,1315.7579
268,2680,1103.2656
270,2700,1242.258
272,2720,1286.2225
274,2740,1078.2751
276,2760,1317.0741
278,2780,1137.2323
280,2800,1296.6612
282,2820,1116.8632
284,2840,1298.8139
286,2860,1145.4925
288,2880,1163.7902
290,2900,1284.8565
292,2920,1239.2752
294,2940,1258.1339
296,2960,1209.3752
298,2980,1215.4029
300,3000,1236.0375
302,3020,1182.2971
304,3040,1144.8568
306,3060,1118.2877
308,3080,1186.9763
310,3100,1219.8177
312,3120,1108.5808
314,3140,1171.7191
316,3160,1193.3599
318,3180,1166.7642
320,3200,1162.414
322,3220,974.1069
324,3240,1347.4213
326,3260,1227.25
328,3280,1121.8818
330,3300,1267.1068
332,3320,1281.7014
334,3340,1163.3708
336,3360,1306.8136
338,3380,1267.8708
340,3400,1130.4356
342,3420,1355.16
344,3440,1343.2761
346,3460,1359.8205
348,3480,1067.7699
350,3500,1236.8324
352,3520,1278.5991
354,3540,1189.961
356,3560,1081.1403
358,3580,1388.5974
360,3600,1188.4708
362,3620,1315.219
364,3640,1129.0214
366,3660,1263.7
368,3680,1061.4938
370,3700,1205.4128
372,3720,1125.0881
374,3740,1488.8494
376,3760,1200.6485
378,3780,1293.1235
380,3800,1383.5401
382,3820,1080.2531
384,3840,1501.1787
386,3860,1033.0229
388,3880,1325.5745
390,3900,1196.1072
392,3920,1178.3917
394,3940,1164.4983
396,3960,1411.1631
398,3980,1152.6962
400,4000,1149.5066
402,4020,1110.905
404,4040,1151.4596
406,4060,1208.2317
408,4080,1244.1031
410,4100,1409.4789
412,4120,1170.0987
414,4140,1229.5786
416,4160,1383.9431
418,4180,1038.4108
420,4200,1400.3409
422,4220,1114.2702
424,4240,1173.7577
426,4260,1043.5457
428,4280,1333.2718
430,4300,1143.0968
432,4320,1152.6112
434,4340,1097.7224
436,4360,1236.5929
438,4380,1369.0872
440,4400,1331.4961
442,4420,1097.5156
444,4440,1265.1501
446,4460,1294.5314
448,4480,1416.0731
450,4500,1200.8978
452,4520,1241.2293
454,4540,1267.0555
456,4560,1042.5229
458,4580,1268.1116
460,4600,1413.1459
462,4620,1293.8276
464,4640,1406.1246
466,4660,1342.9162
468,4680,1273.423
470,4700,1185.8361
472,4720,1313.63
474,4740,1116.3516
476,4760,1284.6106
478,4780,1151.586
480,4800,1283.1098
482,4820,1421.5622
484,4840,1263.7687
486,4860,1326.8445
488,4880,1351.1314
490,4900,1271.0389
492,4920,1276.719
494,4940,1054.4822
496,4960,1361.1058
498,4980,1415.5329
500,5000,1117.0485
