generation,timestep,reward
3,20,10.2119
5,40,33.974
7,60,26.5663
9,80,37.5828
11,100,36.9343
13,120,43.2267
15,140,33.8498
17,160,23.616
19,180,26.12
21,200,34.4206
23,220,45.9473
25,240,21.9544
27,260,45.3341
29,280,34.7669
31,300,43.2864
33,320,35.1261
35,340,40.6888
37,360,37.5367
39,380,26.2088
41,400,41.8596
43,420,34.8214
45,440,50.9389
47,460,54.0934
49,480,23.5466
51,500,42.1693
53,520,47.8599
55,540,43.9482
57,560,27.4299
59,580,28.9774
61,600,30.4712
63,620,46.4631
65,640,54.0252
67,660,52.6443
69,680,10.179
71,700,23.9028
73,720,48.5428
75,740,38.6458
77,760,45.4757
79,780,32.7479
81,800,38.2279
83,820,38.606
85,840,39.0052
87,860,37.2156
89,880,50.9247
91,900,40.7002
93,920,46.1774
95,940,30.6457
97,960,20.4841
99,980,52.5723
101,1000,27.1359
103,1020,38.8491
105,1040,19.0278
107,1060,42.5613
109,1080,20.5337
111,1100,25.1705
113,1120,12.9056
115,1140,26.3308
117,1160,30.5343
119,1180,41.0655
121,1200,28.1782
123,1220,24.2559
125,1240,24.9571
127,1260,49.5882
129,1280,26.0858
131,1300,42.9683
133,1320,3.302
135,1340,39.3567
137,1360,29.588
139,1380,43.5937
141,1400,35.247
143,1420,35.072
145,1440,42.5522
147,1460,29.6502
149,1480,56.7537
151,1500,25.2288
153,1520,37.3946
155,1540,24.4243
157,1560,31.7296
159,1580,9.2637
161,1600,16.9734
163,1620,17.5482
165,1640,17.9786
167,1660,21.7255
169,1680,40.6172
171,1700,25.3531
173,1720,31.1861
175,1740,40.9721
177,1760,12.8287
179,1780,37.0138
181,1800,32.792
183,1820,24.2663
185,1840,47.6353
187,1860,28.9078
189,1880,17.4015
191,1900,21.9901
193,1920,36.5296
195,1940,15.3735
197,1960,29.9531
199,1980,33.0283
201,2000,39.7877
203,2020,18.7058
205,2040,27.5635
207,2060,11.956
209,2080,15.3046
211,2100,15.6227
213,2120,28.1696
215,2140,35.8532
217,2160,15.8851
219,2180,20.9805
221,2200,30.3826
223,2220,27.5914
225,2240,9.6603
227,2260,15.8871
229,2280,12.796
231,2300,21.074
233,2320,5.9625
235,2340,31.0813
237,2360,27.6103
239,2380,18.5365
241,2400,39.2235
243,2420,21.0424
245,2440,21.4266
247,2460,8.7035
249,2480,18.6541
251,2500,28.3641
253,2520,41.0191
255,2540,24.9081
257,2560,43.5748
259,2580,35.64
261,2600,30.457
263,2620,35.8726
265,2640,30.1131
267,2660,28.4654
269,2680,20.1271
271,2700,41.2328
273,2720,21.7697
275,2740,28.163
277,2760,35.9653
279,2780,19.2798
281,2800,44.0844
283,2820,33.2033
285,2840,22.8389
287,2860,48.3633
289,2880,36.2942
291,2900,51.405
293,2920,48.0137
295,2940,36.8754
297,2960,37.0996
299,2980,43.2786
301,3000,44.1132
303,3020,30.6216
305,3040,40.8095
307,3060,30.5264
309,3080,43.5054
311,3100,37.1326
313,3120,23.778
315,3140,33.5696
317,3160,9.378
319,3180,21.2405
321,3200,56.6895
323,3220,43.0471
325,3240,39.824
327,3260,33.2199
329,3280,35.7768
331,3300,27.0157
333,3320,34.2564
335,3340,27.3456
337,3360,31.316
339,3380,3.4761
341,3400,32.8571
343,3420,40.5259
345,3440,40.7076
347,3460,19.5411
349,3480,23.6411
351,3500,33.7964
353,3520,10.0545
355,3540,57.8049
357,3560,40.2393
359,3580,35.4847
361,3600,36.7402
363,3620,48.3724
365,3640,37.2129
367,3660,41.073
369,3680,39.1093
371,3700,36.4508
373,3720,28.0941
375,3740,22.8049
377,3760,37.8254
379,3780,37.7056
381,3800,26.9181
383,3820,22.9588
385,3840,49.2485
387,3860,39.7646
389,3880,24.6058
391,3900,36.4772
393,3920,28.1097
395,3940,23.9381
397,3960,38.7098
399,3980,13.7078
401,4000,34.1269
403,4020,49.7038
405,4040,24.6362
407,4060,32.3091
409,4080,13.9287
411,4100,45.2162
414,4120,38.733
416,4140,48.2564
418,4160,36.7319
420,4180,38.899
422,4200,26.14
424,4220,30.549
426,4240,42.8223
428,4260,44.7684
430,4280,30.0704
432,4300,13.4365
434,4320,10.206
436,4340,26.6599
438,4360,20.3612
440,4380,39.2142
442,4400,41.5284
444,4420,13.7206
446,4440,30.9741
448,4460,38.5428
450,4480,7.0255
452,4500,37.9614
454,4520,30.5235
456,4540,33.2559
458,4560,17.7057
460,4580,10.6802
462,4600,13.9412
464,4620,14.2403
466,4640,10.6813
468,4660,46.0992
470,4680,35.4136
472,4700,17.7057
474,4720,10.5866
476,4740,35.036
478,4760,32.2541
480,4780,36.8722
482,4800,23.9616
484,4820,46.1619
486,4840,34.7543
488,4860,36.9903
490,4880,13.2498
492,4900,42.5835
494,4920,58.3132
496,4940,40.7105
498,4960,40.6313
500,4980,33.0449
502,5000,32.9629
504,5020,20.432
506,5040,47.7637
508,5060,41.4508
510,5080,67.6218
512,5100,44.9968
514,5120,49.1088
516,5140,43.9306
518,5160,31.2576
520,5180,31.2319
522,5200,38.3111
524,5220,28.2977
526,5240,28.1063
528,5260,17.4539
530,5280,32.8914
532,5300,48.3693
534,5320,24.4494
536,5340,34.071
538,5360,47.043
540,5380,29.9206
542,5400,36.8054
544,5420,46.0116
546,5440,34.4399
548,5460,60.339
550,5480,54.4617
552,5500,33.8308
554,5520,40.6272
556,5540,27.554
558,5560,38.6627
560,5580,36.4611
562,5600,55.6258
564,5620,7.0269
566,5640,50.6378
568,5660,34.8154
570,5680,36.8249
572,5700,37.5457
574,5720,23.9868
576,5740,27.8029
578,5760,27.7131
580,5780,24.6349
582,5800,34.356
584,5820,27.5883
586,5840,24.3104
588,5860,34.9855
590,5880,44.3679
592,5900,31.7765
594,5920,35.1432
596,5940,28.0029
598,5960,23.4096
600,5980,20.634
602,6000,20.8447
604,6020,23.9189
606,6040,34.414
608,6060,20.7241
610,6080,42.1669
612,6100,23.8875
614,6120,27.9096
616,6140,27.8377
618,6160,27.9994
620,6180,17.5202
622,6200,28.1169
624,6220,37.6387
626,6240,23.8772
628,6260,33.8319
630,6280,20.3002
632,6300,30.3664
634,6320,37.7632
636,6340,27.9111
638,6360,16.6334
640,6380,20.3615
642,6400,20.5533
644,6420,20.3555
646,6440,45.0318
648,6460,30.6644
650,6480,23.3421
652,6500,37.3005
654,6520,16.4122
656,6540,37.1318
658,6560,40.514
660,6580,36.5087
662,6600,46.8653
664,6620,28.4124
666,6640,32.4259
668,6660,28.5439
670,6680,49.1323
672,6700,35.025
674,6720,24.6098
676,6740,24.7417
678,6760,20.9506
680,6780,30.6992
682,6800,31.3128
684,6820,16.8675
686,6840,30.9657
688,6860,30.6619
690,6880,45.1278
692,6900,16.8313
694,6920,34.2875
696,6940,30.8189
698,6960,30.1317
700,6980,31.5114
702,7000,40.7371
704,7020,45.0844
706,7040,47.4342
708,7060,20.1489
710,7080,40.2247
712,7100,20.1567
714,7120,13.3358
716,7140,13.5373
718,7160,32.7993
720,7180,47.4346
722,7200,42.4161
724,7220,37.0502
726,7240,34.2875
728,7260,26.4531
730,7280,45.8505
732,7300,37.6481
734,7320,30.0552
736,7340,28.2013
738,7360,41.7799
740,7380,27.7804
742,7400,33.6778
744,7420,20.6592
746,7440,37.9307
748,7460,20.9752
750,7480,33.8181
752,7500,30.8001
754,7520,33.97
756,7540,30.8079
758,7560,20.9779
760,7580,34.298
762,7600,47.5338
764,7620,40.8057
766,7640,30.6062
768,7660,33.6777
770,7680,37.1283
772,7700,50.1877
774,7720,30.7547
776,7740,37.5031
778,7760,27.2785
780,7780,53.8195
782,7800,43.8842
784,7820,43.502
786,7840,34.4029
788,7860,30.9259
790,7880,57.6315
792,7900,43.6516
794,7920,40.7736
796,7940,40.2218
798,7960,43.9131
800,7980,44.043
802,8000,44.2056
804,8020,40.7063
806,8040,47.6435
808,8060,37.4262
810,8080,43.8562
812,8100,36.9392
814,8120,50.8584
816,8140,23.1966
818,8160,47.5104
820,8180,43.8126
822,8200,43.8676
824,8220,33.2921
826,8240,53.4221
828,8260,36.8622
830,8280,30.8713
832,8300,37.0413
834,8320,36.9445
836,8340,47.5936
838,8360,37.4454
840,8380,30.013
842,8400,33.433
844,8420,47.1143
846,8440,47.5131
848,8460,47.5121
850,8480,51.0289
852,8500,33.7815
854,8520,27.496
856,8540,43.9537
858,8560,56.698
860,8580,47.4726
862,8600,20.7937
864,8620,41.0429
866,8640,40.3322
868,8660,36.9522
870,8680,23.7286
872,8700,13.418
874,8720,32.7858
876,8740,25.9098
878,8760,39.6257
880,8780,26.1037
882,8800,43.6543
884,8820,33.8582
886,8840,17.2155
888,8860,38.8713
890,8880,34.1782
892,8900,35.2522
894,8920,39.6982
896,8940,37.1386
898,8960,43.533
900,8980,35.3226
902,9000,20.2001
904,9020,30.097
906,9040,30.5907
908,9060,24.1571
910,9080,45.0325
912,9100,30.8948
914,9120,31.183
916,9140,17.1931
918,9160,20.3279
920,9180,24.1174
922,9200,45.5977
924,9220,37.7532
926,9240,41.5886
928,9260,44.8521
930,9280,44.586
932,9300,38.1452
934,9320,34.0853
936,9340,30.7968
938,9360,37.9799
940,9380,41.5236
942,9400,44.9457
944,9420,24.2752
946,9440,37.3069
948,9460,27.0881
950,9480,47.4572
952,9500,44.7709
954,9520,37.9937
956,9540,48.2195
958,9560,30.4585
960,9580,34.0115
962,9600,37.688
964,9620,34.9295
966,9640,44.9703
968,9660,31.2933
970,9680,34.6911
972,9700,37.4776
974,9720,20.4847
976,9740,42.7108
978,9760,39.6942
980,9780,40.6309
982,9800,34.241
984,9820,32.7722
986,9840,45.1579
988,9860,40.9395
990,9880,39.1269
992,9900,46.0355
994,9920,34.8252
996,9940,24.6118
998,9960,40.1153
1000,9980,41.2125
1002,10000,29.1609
