generation,timestep,reward
2,20,19.9938
4,40,34.1106
6,60,32.6043
8,80,27.0567
10,100,30.7666
12,120,53.0129
14,140,40.3755
16,160,20.3034
18,180,13.6876
20,200,60.1942
22,220,37.1614
24,240,66.705
26,260,23.7645
28,280,50.1272
30,300,24.182
32,320,27.7032
34,340,27.5068
36,360,37.8656
38,380,41.1329
40,400,9.9309
42,420,41.7887
44,440,27.3726
46,460,27.2823
48,480,13.985
50,500,40.596
52,520,29.9835
54,540,17.144
56,560,38.8315
58,580,27.3032
60,600,27.5532
62,620,32.0058
64,640,43.153
66,660,19.1756
68,680,48.0193
70,700,11.9368
72,720,20.7512
74,740,45.0665
76,760,37.5608
78,780,45.102
80,800,52.5581
82,820,47.7363
84,840,39.3296
86,860,60.4506
88,880,51.5564
90,900,46.1793
92,920,20.7809
94,940,37.6448
96,960,52.4813
98,980,30.4242
100,1000,27.9274
102,1020,53.5106
104,1040,60.6226
106,1060,51.7926
108,1080,23.7675
110,1100,52.5719
112,1120,26.4588
114,1140,27.7288
116,1160,60.1036
118,1180,31.8495
120,1200,51.5534
122,1220,30.4621
124,1240,45.7293
126,1260,20.0411
128,1280,45.841
130,1300,33.5949
132,1320,47.4865
134,1340,48.0698
136,1360,28.3137
138,1380,45.18
140,1400,27.7984
142,1420,32.9258
144,1440,42.4601
146,1460,38.176
148,1480,49.0482
150,1500,39.2592
152,1520,46.8787
154,1540,40.1147
156,1560,54.1883
158,1580,57.493
160,1600,28.8262
162,1620,55.7762
164,1640,46.1094
166,1660,58.2557
168,1680,24.3872
170,1700,55.215
172,1720,44.0945
174,1740,54.489
176,1760,37.6087
178,1780,42.487
180,1800,44.4208
182,1820,47.8942
184,1840,37.1036
186,1860,38.1651
188,1880,44.6599
190,1900,38.3462
192,1920,52.7744
194,1940,52.0273
196,1960,41.3111
198,1980,44.5284
200,2000,41.5833
202,2020,41.4205
204,2040,48.6382
206,2060,58.4878
208,2080,51.5282
210,2100,44.4793
212,2120,41.5796
214,2140,45.9526
216,2160,17.0623
218,2180,47.4975
220,2200,31.38
222,2220,10.3072
224,2240,34.1815
226,2260,45.0246
228,2280,55.9499
230,2300,41.2009
232,2320,34.633
234,2340,37.7801
236,2360,51.9385
238,2380,31.2089
240,2400,19.7963
242,2420,23.759
244,2440,16.824
246,2460,41.1061
248,2480,21.9999
250,2500,40.6119
252,2520,30.1591
254,2540,42.0325
256,2560,22.4008
258,2580,38.2775
260,2600,52.2433
262,2620,41.5349
264,2640,31.7297
266,2660,39.4996
268,2680,46.0619
270,2700,27.5412
272,2720,32.6014
274,2740,41.1795
276,2760,47.9781
278,2780,40.4019
280,2800,73.1442
282,2820,40.5028
284,2840,69.6932
286,2860,49.1696
288,2880,51.7518
290,2900,31.728
292,2920,47.9251
294,2940,23.8724
296,2960,44.1257
298,2980,31.444
300,3000,34.8548
302,3020,62.1712
304,3040,51.6473
306,3060,44.8768
308,3080,61.3847
310,3100,21.4879
312,3120,31.7727
314,3140,58.95
316,3160,75.5285
318,3180,41.9673
320,3200,44.807
322,3220,66.5312
324,3240,31.8464
326,3260,67.7369
328,3280,70.4325
330,3300,46.6122
332,3320,59.6606
334,3340,41.3795
336,3360,77.8263
338,3380,71.4447
340,3400,62.5134
342,3420,65.4643
344,3440,51.9314
346,3460,73.7608
348,3480,43.1424
350,3500,38.6788
352,3520,53.1639
354,3540,52.1591
356,3560,43.8427
358,3580,40.4214
360,3600,48.9851
362,3620,44.5773
364,3640,49.3913
366,3660,44.5219
