generation,timestep,reward
2,20,53.0481
4,40,51.6748
6,60,50.6044
8,80,32.4841
10,100,29.3809
12,120,46.9129
14,140,34.5717
16,160,49.7706
18,180,34.0889
20,200,17.2073
22,220,10.058
24,240,23.6936
26,260,23.7307
28,280,17.6707
30,300,16.785
32,320,29.7934
34,340,27.3776
36,360,26.9038
38,380,33.7297
40,400,9.9417
42,420,23.2979
44,440,27.4314
46,460,44.9136
48,480,16.695
50,500,13.8166
52,520,16.8657
54,540,26.5854
56,560,6.7628
58,580,59.3591
60,600,32.6012
62,620,16.0567
64,640,6.794
66,660,39.3791
68,680,13.9065
70,700,31.1316
72,720,24.9269
74,740,23.467
76,760,16.9297
78,780,35.8611
80,800,32.6779
82,820,52.1276
84,840,34.2998
86,860,32.3814
88,880,29.2615
90,900,20.1737
92,920,12.5997
94,940,10.188
96,960,25.0273
98,980,12.7242
100,1000,16.3615
102,1020,0.0
104,1040,20.1768
106,1060,23.4543
108,1080,19.2633
110,1100,40.3021
112,1120,13.2354
114,1140,31.9963
116,1160,14.9177
118,1180,33.4982
120,1200,18.6807
122,1220,39.0992
124,1240,32.7125
126,1260,30.6152
128,1280,48.1831
130,1300,13.5682
132,1320,24.5262
134,1340,27.3783
136,1360,20.167
138,1380,16.7398
140,1400,13.952
142,1420,17.1719
144,1440,13.4468
146,1460,13.5924
148,1480,17.0429
150,1500,6.6176
152,1520,23.5951
154,1540,3.5627
156,1560,3.3765
158,1580,9.7908
160,1600,3.3305
162,1620,13.3031
164,1640,16.8643
166,1660,6.6926
168,1680,10.221
170,1700,28.594
172,1720,20.4061
174,1740,20.559
176,1760,23.8835
178,1780,6.8461
180,1800,33.5708
182,1820,25.6963
184,1840,3.425
186,1860,24.0003
188,1880,0.0
190,1900,0.0
192,1920,24.4418
194,1940,0.0
196,1960,10.1441
198,1980,31.7308
200,2000,3.4769
202,2020,10.1082
204,2040,6.7705
206,2060,20.5902
208,2080,16.8449
210,2100,11.032
212,2120,6.7679
