generation,timestep,reward
2,20,46.5174
4,40,20.8948
6,60,38.2953
8,80,48.5425
10,100,39.1627
12,120,37.979
14,140,52.9276
16,160,56.3978
18,180,63.4176
20,200,50.0756
22,220,30.3687
24,240,30.1822
26,260,47.7583
28,280,20.4864
30,300,24.1708
32,320,17.3049
34,340,59.3096
36,360,46.1897
38,380,30.522
40,400,41.1453
42,420,34.1583
44,440,33.6691
46,460,40.3498
48,480,17.2765
50,500,27.2936
52,520,44.1641
54,540,24.1235
56,560,25.2848
58,580,12.2923
60,600,17.4591
62,620,33.5425
64,640,43.2937
66,660,19.7549
68,680,30.3345
70,700,46.0237
72,720,27.3743
74,740,38.0171
76,760,52.1785
78,780,34.147
80,800,67.3389
82,820,38.8737
84,840,20.3031
86,860,24.2619
88,880,52.602
90,900,30.537
92,920,40.7279
94,940,34.4088
96,960,23.3013
98,980,51.026
100,1000,37.2139
102,1020,34.6879
104,1040,47.4567
106,1060,27.2123
108,1080,41.2388
110,1100,34.3721
112,1120,39.7201
114,1140,33.5315
116,1160,30.9655
118,1180,48.4879
120,1200,41.4018
122,1220,30.6076
124,1240,41.2886
126,1260,21.1069
128,1280,51.3801
130,1300,51.3374
132,1320,37.8287
134,1340,38.1622
136,1360,31.1595
138,1380,24.7333
140,1400,47.5435
142,1420,48.1561
144,1440,41.4138
146,1460,48.6268
148,1480,49.1883
150,1500,53.5269
152,1520,31.195
154,1540,67.4861
156,1560,51.9905
158,1580,27.7768
160,1600,60.0012
162,1620,48.741
164,1640,63.7038
166,1660,69.0878
168,1680,67.2627
170,1700,70.1336
172,1720,69.6191
174,1740,66.6808
176,1760,62.2809
178,1780,67.0162
180,1800,65.9397
182,1820,70.7501
184,1840,70.8548
186,1860,42.2937
188,1880,45.119
190,1900,63.318
192,1920,67.0433
194,1940,50.1025
196,1960,49.9565
198,1980,60.4448
200,2000,52.9108
202,2020,55.3004
204,2040,69.3661
206,2060,46.0516
208,2080,40.2058
210,2100,48.5582
212,2120,31.6545
214,2140,56.0585
216,2160,54.4409
218,2180,34.6975
220,2200,46.7923
222,2220,66.6491
224,2240,53.2778
226,2260,54.2667
228,2280,69.3173
230,2300,69.4717
232,2320,66.5819
234,2340,64.9305
236,2360,60.4555
238,2380,42.6382
240,2400,65.0154
242,2420,55.7739
244,2440,36.8733
246,2460,50.4954
248,2480,44.9064
250,2500,44.7924
252,2520,41.1755
254,2540,55.9868
256,2560,68.3011
258,2580,52.4441
260,2600,18.775
262,2620,61.462
264,2640,47.5407
266,2660,38.4451
268,2680,54.9425
270,2700,38.0032
272,2720,34.0398
274,2740,55.8866
276,2760,34.1679
278,2780,41.4136
280,2800,57.4579
282,2820,41.2098
284,2840,49.786
286,2860,55.9011
288,2880,45.7637
290,2900,48.7393
292,2920,41.0705
294,2940,17.5596
296,2960,27.2169
298,2980,47.3283
300,3000,41.4615
302,3020,40.3935
304,3040,69.008
306,3060,70.5775
308,3080,67.5006
310,3100,50.984
312,3120,62.2648
314,3140,56.9754
316,3160,61.6016
318,3180,47.4255
320,3200,51.4769
322,3220,65.6418
324,3240,58.3649
326,3260,49.3921
328,3280,41.5419
330,3300,50.8066
332,3320,58.9857
334,3340,23.3423
336,3360,27.8793
338,3380,41.9471
340,3400,51.1959
342,3420,41.5906
344,3440,35.4154
346,3460,48.1146
348,3480,41.4769
350,3500,27.2992
352,3520,47.9502
354,3540,41.8087
356,3560,49.5161
358,3580,54.7906
360,3600,50.9098
362,3620,45.9221
364,3640,69.6591
366,3660,43.7634
368,3680,61.0132
370,3700,59.4674
372,3720,51.3837
374,3740,54.0291
376,3760,56.2052
378,3780,53.6143
380,3800,56.3927
382,3820,57.8971
384,3840,43.2989
386,3860,57.3492
388,3880,46.2138
390,3900,34.4994
392,3920,48.102
394,3940,54.3123
396,3960,50.7899
398,3980,41.2661
400,4000,34.1412
402,4020,58.3306
404,4040,48.5371
406,4060,48.1536
408,4080,40.6559
410,4100,50.4353
412,4120,34.8695
414,4140,37.7182
416,4160,45.0653
418,4180,44.6566
420,4200,51.688
422,4220,45.1115
424,4240,42.6186
426,4260,44.5085
428,4280,45.1412
430,4300,53.7597
432,4320,61.4482
434,4340,34.7624
436,4360,61.8664
438,4380,63.7341
440,4400,30.5151
442,4420,34.4743
444,4440,35.2867
446,4460,30.2615
448,4480,63.8375
450,4500,60.0081
452,4520,40.84
454,4540,37.6742
456,4560,35.0805
458,4580,33.9754
460,4600,54.373
462,4620,53.3617
464,4640,26.9688
466,4660,41.5629
468,4680,39.1828
470,4700,46.8392
472,4720,23.3028
474,4740,31.1023
476,4760,54.3135
478,4780,53.5708
480,4800,48.8572
482,4820,47.7878
484,4840,43.6556
486,4860,46.2417
488,4880,46.316
490,4900,55.4892
492,4920,33.4972
494,4940,49.7703
496,4960,53.1053
498,4980,55.4007
500,5000,48.7
502,5020,60.7716
504,5040,49.1194
506,5060,46.0235
508,5080,34.4534
510,5100,43.7159
512,5120,66.2908
514,5140,48.0283
516,5160,24.3045
