generation,timestep,reward
2,20,45.4322
4,40,32.6297
6,60,38.9838
8,80,60.0088
10,100,20.7784
12,120,10.1607
14,140,47.0419
16,160,44.2426
18,180,32.7707
20,200,43.7719
22,220,25.488
24,240,42.3714
26,260,28.2654
28,280,50.3328
30,300,36.6203
32,320,61.3463
34,340,22.6692
36,360,22.5379
38,380,31.0474
40,400,44.2813
42,420,44.0251
44,440,29.5596
46,460,58.26
48,480,54.9124
50,500,55.1583
52,520,34.8075
54,540,50.9733
56,560,49.6743
58,580,47.8005
60,600,47.9112
62,620,35.758
64,640,53.8363
66,660,40.5278
68,680,40.9221
70,700,31.1979
72,720,47.2006
74,740,62.1391
76,760,34.9007
78,780,51.0208
80,800,61.1281
82,820,61.095
84,840,13.9312
86,860,53.9029
88,880,61.3807
90,900,64.4688
92,920,41.4839
94,940,52.7903
96,960,40.9327
98,980,43.4531
100,1000,42.0668
102,1020,33.631
104,1040,40.9478
106,1060,31.3831
108,1080,54.4571
110,1100,35.1419
112,1120,45.464
114,1140,37.8463
116,1160,27.8785
118,1180,37.6121
120,1200,52.4316
122,1220,31.3437
124,1240,27.2046
126,1260,3.5296
128,1280,47.1001
130,1300,49.2943
132,1320,40.9213
134,1340,32.2035
136,1360,49.6014
138,1380,45.1857
140,1400,27.9886
142,1420,43.9478
144,1440,66.5461
146,1460,65.0601
148,1480,56.4735
150,1500,33.8499
152,1520,57.486
154,1540,37.0862
156,1560,41.5581
158,1580,57.4314
160,1600,51.5858
162,1620,30.8638
164,1640,44.4261
166,1660,53.4699
168,1680,43.5351
170,1700,57.2553
172,1720,41.8105
174,1740,23.9705
176,1760,26.9868
178,1780,51.7466
180,1800,29.4725
182,1820,13.3124
184,1840,60.6223
186,1860,31.5007
188,1880,73.1156
190,1900,53.9694
192,1920,60.4604
194,1940,42.2824
196,1960,53.3211
198,1980,33.332
200,2000,47.5368
202,2020,64.5876
204,2040,29.8527
206,2060,53.2699
208,2080,27.5865
210,2100,28.2046
212,2120,34.141
214,2140,30.5537
216,2160,46.3792
218,2180,59.8841
220,2200,49.2293
222,2220,58.6892
224,2240,67.3251
226,2260,65.6678
228,2280,81.501
230,2300,50.6972
232,2320,49.3141
234,2340,49.2232
236,2360,62.4371
238,2380,30.9764
240,2400,50.3001
242,2420,80.5205
244,2440,47.1213
246,2460,62.9381
248,2480,38.4227
250,2500,59.5388
252,2520,50.1911
254,2540,62.1217
256,2560,41.2996
258,2580,64.0302
260,2600,30.7109
262,2620,34.0819
264,2640,61.4284
266,2660,41.4837
268,2680,75.2547
270,2700,57.3878
272,2720,56.1577
274,2740,66.2054
276,2760,75.1876
278,2780,34.8333
280,2800,70.2253
282,2820,60.1368
284,2840,42.6855
286,2860,67.8618
288,2880,40.6338
290,2900,24.2609
292,2920,46.6911
294,2940,32.3711
296,2960,43.4935
298,2980,59.0762
300,3000,30.4945
302,3020,26.5897
304,3040,50.8729
306,3060,54.9387
308,3080,49.8034
310,3100,42.9104
312,3120,40.8335
