generation,timestep,reward
2,20,505.9999
5,40,391.069
8,60,402.9211
10,80,709.874
12,100,572.4592
14,120,572.8639
16,140,659.4882
19,160,468.0742
21,180,733.0356
23,200,697.5346
25,220,588.676
27,240,441.074
29,260,678.5384
32,280,489.1828
34,300,692.512
36,320,691.197
38,340,725.7548
41,360,621.8375
43,380,542.6111
45,400,732.9015
48,420,514.4268
51,440,467.9494
55,460,245.5624
59,480,335.022
61,500,611.4543
64,520,393.8131
66,540,597.7325
68,560,432.6698
71,580,359.8713
73,600,554.1586
75,620,529.7421
77,640,794.3056
79,660,758.9354
82,680,628.1228
86,700,312.0678
89,720,353.9573
92,740,486.1742
95,760,508.1317
97,780,430.231
100,800,516.9358
102,820,565.7457
105,840,441.6939
108,860,398.7106
111,880,526.8982
114,900,391.6012
117,920,418.058
119,940,762.9285
121,960,404.0097
123,980,767.6151
125,1000,659.0507
128,1020,416.1054
132,1040,478.2066
134,1060,477.2717
136,1080,637.9657
138,1100,485.0808
141,1120,520.0743
143,1140,729.472
145,1160,740.7746
147,1180,626.0483
150,1200,508.3099
152,1220,728.3443
154,1240,662.2141
156,1260,725.3333
158,1280,620.1347
160,1300,695.1843
162,1320,583.2897
164,1340,608.0868
166,1360,674.7831
169,1380,489.2434
171,1400,563.8506
173,1420,707.7092
175,1440,649.5783
177,1460,580.7669
179,1480,727.8489
181,1500,548.2709
183,1520,738.5131
186,1540,471.5005
188,1560,725.779
192,1580,324.8775
195,1600,488.2487
197,1620,723.5301
200,1640,506.3648
203,1660,228.0244
205,1680,729.6384
208,1700,573.423
211,1720,264.6918
213,1740,668.5864
217,1760,331.0985
219,1780,643.2328
222,1800,458.8019
224,1820,626.5596
226,1840,753.9901
230,1860,331.406
232,1880,680.5954
234,1900,661.5157
237,1920,349.0675
239,1940,509.4753
242,1960,360.9867
244,1980,704.9401
247,2000,484.5892
249,2020,688.2713
251,2040,650.9777
255,2060,328.0676
258,2080,386.724
260,2100,737.2987
263,2120,460.3408
265,2140,767.2332
267,2160,730.1286
269,2180,620.714
271,2200,688.7083
275,2220,326.6651
278,2240,413.771
280,2260,728.723
282,2280,690.1913
284,2300,734.6353
286,2320,629.3998
288,2340,720.3786
290,2360,721.1336
293,2380,509.6292
295,2400,578.3756
297,2420,717.9288
299,2440,538.7669
301,2460,725.5858
303,2480,724.7515
306,2500,535.6488
309,2520,469.4024
312,2540,339.0099
316,2560,397.9049
318,2580,720.3267
320,2600,725.8241
322,2620,725.0615
324,2640,724.7494
326,2660,689.5377
328,2680,736.1381
330,2700,652.212
333,2720,465.4718
335,2740,723.3935
337,2760,725.8417
339,2780,725.6631
342,2800,434.4737
344,2820,720.384
346,2840,689.8891
348,2860,578.8449
350,2880,647.657
353,2900,521.5456
355,2920,669.0974
357,2940,725.3475
