generation,timestep,reward
2,20,524.4882
4,40,709.9542
6,60,718.4225
8,80,721.655
10,100,646.2783
12,120,760.0878
14,140,638.5786
16,160,648.046
18,180,656.4171
20,200,714.1111
22,220,623.1602
24,240,606.5162
26,260,584.7631
28,280,589.4186
30,300,678.4073
32,320,601.7516
34,340,533.2801
36,360,604.418
38,380,585.3203
40,400,594.9589
42,420,522.135
44,440,574.3823
46,460,664.2505
48,480,608.0685
50,500,715.4337
52,520,544.5634
54,540,570.5547
56,560,642.8495
58,580,706.5678
60,600,648.3743
62,620,689.3157
64,640,526.0054
66,660,585.6215
68,680,589.5971
70,700,621.8453
72,720,692.4869
74,740,660.016
76,760,666.4262
78,780,675.7549
80,800,666.2321
82,820,653.624
84,840,637.4305
86,860,712.8042
88,880,631.2776
90,900,612.6916
92,920,680.1357
94,940,640.1963
96,960,694.2934
98,980,731.2774
100,1000,681.3286
102,1020,602.4516
104,1040,667.3393
106,1060,625.3955
108,1080,727.4846
110,1100,670.9259
112,1120,615.7693
114,1140,645.4607
116,1160,570.6746
118,1180,662.7774
120,1200,734.0864
122,1220,602.0975
124,1240,729.0348
126,1260,726.6089
128,1280,728.0722
130,1300,738.3984
132,1320,724.2361
134,1340,777.8542
136,1360,721.8703
138,1380,725.8642
140,1400,696.7576
142,1420,682.1684
144,1440,675.7619
146,1460,621.2594
148,1480,711.4452
150,1500,716.645
152,1520,723.5447
154,1540,700.8697
156,1560,731.1259
158,1580,769.2992
160,1600,727.4402
162,1620,679.4553
164,1640,724.4039
166,1660,722.4259
168,1680,730.8357
170,1700,728.8027
172,1720,729.4048
174,1740,714.6606
176,1760,738.6434
178,1780,720.797
180,1800,730.7265
182,1820,704.0117
184,1840,728.0344
186,1860,726.6968
188,1880,734.4108
190,1900,733.5971
192,1920,708.243
194,1940,729.7329
196,1960,646.9701
198,1980,756.3396
200,2000,727.3084
202,2020,717.5282
204,2040,717.1476
206,2060,683.7758
208,2080,742.7813
210,2100,882.8717
212,2120,763.183
214,2140,700.9528
216,2160,709.4757
218,2180,803.8686
220,2200,617.3029
222,2220,695.4793
224,2240,637.9082
226,2260,674.7769
228,2280,602.9232
230,2300,631.1715
232,2320,650.1951
234,2340,608.7035
236,2360,704.1441
238,2380,677.5948
240,2400,629.3339
242,2420,592.6747
244,2440,597.5053
246,2460,679.6145
248,2480,592.5169
250,2500,631.8133
252,2520,673.2024
254,2540,704.2088
256,2560,638.1833
258,2580,733.0915
260,2600,656.5102
262,2620,702.1938
264,2640,661.315
266,2660,691.1328
268,2680,567.7651
270,2700,583.4961
272,2720,669.1153
274,2740,679.41
276,2760,660.2106
278,2780,566.3935
280,2800,681.4791
282,2820,693.3617
284,2840,699.1233
286,2860,642.1354
288,2880,632.2271
290,2900,699.232
292,2920,661.7055
294,2940,675.3098
296,2960,728.1559
298,2980,626.3906
300,3000,678.0669
302,3020,709.9344
304,3040,713.8105
306,3060,715.2923
308,3080,762.3703
310,3100,678.5991
312,3120,741.3113
314,3140,702.5327
316,3160,613.8981
318,3180,732.2548
320,3200,762.8318
322,3220,660.3535
324,3240,738.6716
326,3260,680.2873
328,3280,733.9773
330,3300,646.8002
332,3320,697.4473
334,3340,651.0254
336,3360,623.9536
338,3380,714.2564
340,3400,701.5202
342,3420,629.1563
344,3440,681.4599
346,3460,733.1523
348,3480,723.0334
350,3500,649.8346
352,3520,632.3593
354,3540,677.9298
356,3560,719.9773
358,3580,760.3237
360,3600,720.5984
362,3620,673.9927
364,3640,674.0622
366,3660,731.1087
368,3680,709.8158
370,3700,735.0701
372,3720,723.6769
374,3740,722.5551
376,3760,671.2867
378,3780,727.1758
380,3800,765.4321
382,3820,722.6026
384,3840,721.2879
386,3860,731.1801
388,3880,720.3961
390,3900,719.4028
392,3920,727.2095
394,3940,728.5297
396,3960,723.1882
398,3980,682.5717
400,4000,728.7224
402,4020,717.0245
404,4040,733.0867
406,4060,725.0663
408,4080,744.6922
410,4100,724.3106
412,4120,730.4552
414,4140,728.9167
416,4160,746.4335
418,4180,725.4609
420,4200,729.4171
422,4220,724.1265
424,4240,719.2302
426,4260,722.8525
428,4280,740.5364
430,4300,703.4158
432,4320,656.935
434,4340,724.2672
437,4360,556.2996
440,4380,388.5097
444,4400,373.5134
446,4420,705.117
448,4440,723.9535
450,4460,725.6226
453,4480,391.9799
456,4500,352.1129
458,4520,687.5499
461,4540,509.7259
463,4560,548.9314
465,4580,664.6412
467,4600,733.4144
469,4620,728.4505
472,4640,470.9712
475,4660,457.417
477,4680,727.7048
479,4700,713.4597
482,4720,482.6972
484,4740,699.4766
486,4760,757.2445
489,4780,481.7064
491,4800,437.1117
493,4820,696.5287
497,4840,273.5514
499,4860,714.6181
502,4880,362.4023
505,4900,578.3193
508,4920,504.937
510,4940,719.6008
512,4960,724.7925
514,4980,725.3204
516,5000,732.2965
518,5020,726.5777
520,5040,719.9689
522,5060,621.3897
524,5080,722.3956
526,5100,730.102
528,5120,508.7477
531,5140,629.4173
533,5160,514.2161
536,5180,581.5825
538,5200,718.577
540,5220,717.171
542,5240,729.5057
544,5260,577.4708
546,5280,720.0342
548,5300,654.1474
550,5320,731.2385
552,5340,728.2693
554,5360,749.6515
556,5380,705.9485
558,5400,729.1015
561,5420,467.0578
563,5440,575.7128
565,5460,725.996
568,5480,292.0724
570,5500,684.4302
573,5520,631.3132
575,5540,512.0378
578,5560,633.0587
580,5580,401.9367
582,5600,650.1876
585,5620,536.4485
588,5640,482.6771
590,5660,582.5052
593,5680,389.169
597,5700,438.1902
600,5720,480.7525
602,5740,579.0553
605,5760,424.6019
607,5780,735.5376
610,5800,444.5402
612,5820,577.3203
614,5840,729.4771
616,5860,595.5004
618,5880,366.4848
620,5900,577.7966
622,5920,609.4615
626,5940,378.4075
628,5960,404.7146
630,5980,432.7278
632,6000,619.9522
634,6020,639.3588
637,6040,506.9842
639,6060,586.2707
642,6080,436.0621
644,6100,631.4729
646,6120,611.4949
649,6140,397.0811
651,6160,434.9523
653,6180,596.1926
655,6200,682.9592
657,6220,610.8465
660,6240,501.9445
662,6260,680.0808
664,6280,531.5202
667,6300,476.4836
669,6320,524.3867
672,6340,425.554
675,6360,465.753
677,6380,627.4474
679,6400,631.6848
682,6420,279.3196
684,6440,729.7511
686,6460,728.1649
688,6480,643.1881
690,6500,637.0818
692,6520,726.6797
695,6540,284.0469
697,6560,666.9451
699,6580,616.6473
701,6600,718.7002
704,6620,572.8076
706,6640,481.3478
708,6660,731.2151
710,6680,633.9414
712,6700,547.4045
714,6720,727.6348
716,6740,694.487
718,6760,729.0857
722,6780,467.9759
724,6800,475.4053
726,6820,689.0886
728,6840,733.1765
731,6860,531.4795
733,6880,731.9119
735,6900,450.767
737,6920,732.6733
739,6940,664.1494
741,6960,729.6553
744,6980,528.0451
747,7000,559.7555
749,7020,345.7702
751,7040,690.9755
754,7060,489.5637
757,7080,614.4711
759,7100,688.3886
761,7120,728.1752
763,7140,339.7755
766,7160,509.407
768,7180,440.9557
770,7200,639.8811
772,7220,597.6053
775,7240,557.2576
777,7260,665.8965
779,7280,695.9333
781,7300,616.8862
785,7320,309.5309
787,7340,473.9369
789,7360,640.4113
792,7380,531.0766
795,7400,457.2092
797,7420,608.0529
799,7440,641.6452
801,7460,620.5015
803,7480,732.0448
805,7500,638.6572
807,7520,731.4004
810,7540,366.1156
812,7560,669.1277
814,7580,696.7444
817,7600,351.8553
819,7620,729.9456
821,7640,681.4774
823,7660,665.3375
826,7680,538.2016
828,7700,542.7949
832,7720,364.7698
834,7740,647.3979
836,7760,426.9397
838,7780,728.5043
841,7800,448.4406
843,7820,665.0898
845,7840,662.4446
848,7860,439.731
851,7880,474.8021
854,7900,406.846
857,7920,425.3278
859,7940,634.2384
861,7960,520.7274
863,7980,574.3316
865,8000,724.4993
867,8020,355.2126
869,8040,612.4452
872,8060,574.6762
874,8080,508.8601
876,8100,631.7887
878,8120,653.7612
880,8140,440.9062
882,8160,622.9143
886,8180,393.9131
889,8200,343.7903
891,8220,615.4967
893,8240,617.0429
895,8260,488.2043
897,8280,678.429
899,8300,612.8706
902,8320,488.4856
904,8340,526.2746
906,8360,659.7699
908,8380,731.4248
910,8400,603.4359
913,8420,456.5668
915,8440,695.3858
917,8460,425.7082
920,8480,540.1591
922,8500,590.0886
925,8520,418.2057
927,8540,471.6091
929,8560,457.5402
931,8580,674.5924
933,8600,597.5705
935,8620,336.2759
938,8640,591.3363
941,8660,410.1378
943,8680,525.4802
945,8700,538.7137
948,8720,534.1089
950,8740,611.0045
952,8760,488.2645
954,8780,713.8525
956,8800,654.5635
958,8820,518.705
962,8840,255.4675
964,8860,444.0083
966,8880,542.6067
969,8900,434.6357
972,8920,462.8176
975,8940,352.5279
977,8960,679.4091
980,8980,331.0376
983,9000,451.0866
985,9020,491.8463
987,9040,645.6379
990,9060,381.2472
994,9080,252.7631
996,9100,592.0497
998,9120,285.9843
1001,9140,580.4467
1003,9160,513.2534
1005,9180,623.8943
1007,9200,634.1677
1009,9220,617.1261
1011,9240,612.206
1015,9260,315.231
1017,9280,439.8271
1019,9300,697.8878
1022,9320,589.2162
1024,9340,710.415
1027,9360,435.9982
1029,9380,566.9088
1032,9400,341.6887
1034,9420,661.6017
1036,9440,637.8818
1038,9460,608.8267
1040,9480,709.1719
1042,9500,715.8213
1044,9520,644.7648
1046,9540,712.4269
1048,9560,729.8768
1050,9580,512.9392
1053,9600,436.0735
1056,9620,435.6861
1059,9640,533.064
1061,9660,722.7415
1063,9680,720.5588
1065,9700,722.6224
1067,9720,622.175
1070,9740,454.5106
1072,9760,622.5185
1074,9780,671.9003
1076,9800,587.7639
1078,9820,733.704
1080,9840,650.8373
1082,9860,618.5614
1085,9880,481.5825
1087,9900,658.6405
1089,9920,726.6733
1091,9940,729.1522
1093,9960,725.6681
1096,9980,341.5525
1098,10000,713.1505
