generation,timestep,reward
2,20,328.1219
4,40,247.6965
6,60,253.8813
8,80,313.1314
10,100,259.205
12,120,357.9308
14,140,297.6468
16,160,269.7225
18,180,316.605
20,200,313.5234
22,220,293.0225
24,240,265.1344
26,260,279.1695
28,280,261.2751
30,300,214.1371
32,320,278.0758
34,340,312.058
36,360,307.0387
38,380,281.0171
40,400,312.6974
42,420,272.2567
44,440,310.575
46,460,291.5039
48,480,247.9138
50,500,254.5099
52,520,271.9851
54,540,288.9977
56,560,255.0021
58,580,325.4477
60,600,284.1283
62,620,353.8994
64,640,288.8639
66,660,247.8488
68,680,286.3045
70,700,319.4314
72,720,277.5115
74,740,258.819
76,760,278.5968
78,780,297.3774
80,800,348.9033
82,820,306.4221
84,840,275.3542
86,860,277.2997
88,880,303.188
90,900,303.2261
92,920,297.9808
94,940,303.5611
96,960,275.2155
98,980,282.3831
100,1000,299.0764
102,1020,280.8745
104,1040,315.9594
106,1060,343.0819
108,1080,319.2723
110,1100,344.0708
112,1120,327.8574
114,1140,273.7207
116,1160,291.2326
118,1180,327.1101
120,1200,272.583
122,1220,296.2072
124,1240,311.2371
126,1260,293.9435
128,1280,320.7483
130,1300,325.2401
132,1320,292.1029
134,1340,315.6382
136,1360,259.3219
138,1380,311.5824
140,1400,278.6351
142,1420,319.541
144,1440,307.3631
146,1460,259.414
148,1480,393.0881
150,1500,396.7953
152,1520,288.5842
154,1540,361.5122
156,1560,477.0847
158,1580,407.5492
160,1600,287.4248
162,1620,349.8087
164,1640,304.2473
166,1660,358.8278
168,1680,277.6215
170,1700,306.2334
172,1720,292.6695
174,1740,201.2609
176,1760,323.1154
178,1780,279.7045
180,1800,295.6731
182,1820,280.6015
184,1840,302.5519
186,1860,318.6325
188,1880,288.3308
190,1900,298.6305
192,1920,319.7511
194,1940,265.0584
196,1960,306.9375
198,1980,350.4777
200,2000,292.8754
202,2020,286.2096
204,2040,347.3138
206,2060,321.675
208,2080,274.3718
210,2100,271.0119
212,2120,324.6731
214,2140,316.6288
216,2160,284.3417
218,2180,272.2558
220,2200,294.8543
222,2220,291.524
224,2240,303.3174
226,2260,281.0284
228,2280,258.5613
230,2300,270.383
232,2320,276.5669
234,2340,288.4481
236,2360,319.8702
238,2380,283.6331
240,2400,298.7335
242,2420,368.8505
244,2440,260.2373
246,2460,402.4799
248,2480,349.0893
250,2500,292.2674
252,2520,372.393
254,2540,438.7885
256,2560,308.5038
258,2580,278.5588
260,2600,249.1067
262,2620,283.6841
264,2640,247.8479
266,2660,296.2533
268,2680,279.2985
270,2700,243.9948
272,2720,228.7398
274,2740,273.1326
276,2760,273.7158
278,2780,260.2407
280,2800,242.2825
282,2820,262.5433
284,2840,175.6668
286,2860,297.7898
288,2880,248.4372
290,2900,255.6918
292,2920,282.2663
294,2940,279.7786
296,2960,285.7896
298,2980,291.7363
300,3000,277.0075
302,3020,301.1279
304,3040,320.5061
306,3060,319.1587
308,3080,269.4659
310,3100,284.5992
312,3120,291.4246
314,3140,268.2472
316,3160,289.1843
318,3180,301.0352
320,3200,294.8051
322,3220,294.4933
324,3240,275.5697
326,3260,330.1309
328,3280,253.611
330,3300,300.3756
332,3320,289.8439
334,3340,301.3611
336,3360,303.2535
338,3380,283.0806
340,3400,283.0044
342,3420,286.1014
344,3440,301.3469
346,3460,285.1803
348,3480,256.0987
350,3500,276.929
352,3520,313.5096
354,3540,273.3152
356,3560,248.7142
358,3580,273.0035
360,3600,254.8156
362,3620,286.0873
364,3640,285.7253
366,3660,283.5635
368,3680,279.481
370,3700,264.5048
372,3720,300.8161
374,3740,285.7111
376,3760,276.6957
378,3780,284.5349
380,3800,270.8276
382,3820,276.9148
384,3840,292.615
386,3860,276.7742
388,3880,276.6957
390,3900,266.1781
392,3920,284.2733
394,3940,265.7878
396,3960,282.4995
398,3980,281.0496
400,4000,265.1915
402,4020,294.07
404,4040,297.1316
406,4060,227.3057
408,4080,331.1056
410,4100,298.9833
412,4120,270.3696
414,4140,319.3684
416,4160,338.858
418,4180,320.067
420,4200,318.4223
422,4220,327.6873
424,4240,304.8624
426,4260,333.7684
428,4280,327.4014
430,4300,334.2108
432,4320,271.5434
434,4340,272.8232
436,4360,284.0088
438,4380,295.1305
440,4400,330.4519
442,4420,318.063
444,4440,323.8969
446,4460,330.7271
448,4480,326.4981
450,4500,315.7255
452,4520,266.3739
454,4540,307.0728
456,4560,324.1551
458,4580,316.7292
460,4600,287.6809
462,4620,312.3332
464,4640,316.9367
466,4660,287.038
468,4680,310.8624
470,4700,319.434
472,4720,277.3367
474,4740,360.4099
476,4760,281.9191
478,4780,329.7423
480,4800,337.3305
482,4820,291.2402
484,4840,312.6642
486,4860,348.2949
488,4880,309.5719
490,4900,326.8297
492,4920,328.4927
494,4940,271.8105
496,4960,331.3582
498,4980,293.9229
500,5000,342.3916
502,5020,303.0668
504,5040,294.386
506,5060,337.5287
508,5080,326.3462
510,5100,304.9707
512,5120,309.8368
514,5140,359.7737
516,5160,309.6817
518,5180,309.3563
520,5200,340.2932
522,5220,328.1451
524,5240,267.5518
