generation,timestep,reward
2,6,-34.0724
4,12,20.7243
6,18,-8.0418
8,24,-19.934
10,30,-34.0099
12,36,5.6938
14,42,-46.9369
16,48,-9.7576
18,54,-46.4595
20,60,-33.1685
22,66,-33.8981
24,72,-60.0
26,78,-19.7123
28,84,-46.7
30,90,-19.5329
32,96,-46.4958
34,102,-46.4157
36,108,-46.5165
38,114,-46.5165
40,120,-46.7494
42,126,-33.0316
44,132,-32.9845
46,138,-19.6737
48,144,-60.0
50,150,-60.0
52,156,-46.5165
54,162,-29.7128
56,168,-33.0064
58,174,-60.0
60,180,-60.0
62,186,-60.0
64,192,-60.0
66,198,-60.0
68,204,-60.0
70,210,-46.6982
72,216,-33.0749
74,222,-46.7
76,228,-46.65
78,234,-19.234
80,240,-19.247
82,246,-19.234
84,252,-19.588
86,258,-33.4483
88,264,-46.4157
90,270,-46.4157
92,276,-32.9845
94,282,-6.4659
96,288,-47.1418
98,294,-19.7689
100,300,-46.4157
102,306,-32.8184
104,312,-60.0
106,318,-60.0
108,324,-46.7483
110,330,-6.1342
112,336,6.8722
114,342,-33.3592
116,348,-6.3778
118,354,-19.7686
120,360,19.0268
122,366,-6.1965
124,372,-19.7278
126,378,-46.4074
128,384,6.6879
130,390,-19.5303
132,396,20.1096
134,402,-20.0092
136,408,20.3527
138,414,7.3152
140,420,-6.5943
142,426,-5.8378
144,432,20.398
146,438,21.0337
148,444,22.0113
150,450,6.872
152,456,22.682
154,462,8.1681
156,468,22.0915
158,474,20.8368
160,480,22.9742
162,486,9.2909
164,492,20.5197
166,498,24.4079
168,504,21.7803
170,510,20.9377
172,516,21.7625
174,522,22.4781
176,528,20.5166
178,534,21.0919
180,540,21.1295
182,546,8.4136
184,552,21.7416
186,558,20.842
188,564,21.6677
190,570,21.6241
192,576,21.2338
194,582,21.5438
196,588,-6.3806
198,594,22.2646
200,600,21.4834
202,606,20.623
204,612,21.7438
206,618,20.86
208,624,20.6666
210,630,20.9302
212,636,21.5886
214,642,22.335
216,648,-5.0211
218,654,21.6079
220,660,21.4842
222,666,20.9906
224,672,22.7791
226,678,22.9463
228,684,21.4766
230,690,21.1874
232,696,21.2102
234,702,20.4707
236,708,23.3713
238,714,21.9699
240,720,21.3472
242,726,22.1091
244,732,22.1168
246,738,20.8307
248,744,20.6248
250,750,22.7831
252,756,21.8731
254,762,21.4738
256,768,22.7842
258,774,21.588
260,780,22.4655
262,786,21.6887
264,792,20.6107
266,798,22.3899
268,804,21.4654
270,810,21.5859
272,816,22.2791
274,822,22.7023
276,828,22.0155
278,834,22.1401
280,840,21.5583
282,846,21.2033
284,852,22.5983
286,858,21.6607
288,864,20.9167
290,870,24.3399
292,876,22.4252
294,882,22.6821
296,888,23.2219
298,894,21.3692
300,900,21.5869
302,906,21.1399
304,912,20.9352
306,918,8.4927
308,924,21.6884
310,930,21.8298
312,936,20.9866
314,942,20.6805
316,948,21.4932
318,954,21.8415
320,960,20.7168
322,966,-19.676
324,972,21.3227
326,978,7.4527
328,984,7.5807
330,990,-6.0799
332,996,21.991
334,1002,20.8512
336,1008,-5.7992
338,1014,-32.9232
340,1020,21.0092
342,1026,21.2102
344,1032,-5.7051
346,1038,8.2849
348,1044,20.5145
350,1050,8.3216
352,1056,21.8302
354,1062,23.5562
356,1068,22.9445
358,1074,21.7135
360,1080,21.4499
362,1086,7.8477
364,1092,21.7975
366,1098,20.9711
368,1104,21.0631
370,1110,21.631
372,1116,21.8258
