generation,timestep,reward
2,20,1494.9678
4,40,1352.7508
6,60,1135.5545
8,80,1112.6093
10,100,1109.6809
12,120,1128.615
14,140,1121.1733
16,160,1219.075
18,180,1132.2217
20,200,1137.104
22,220,1135.45
24,240,557.5658
26,260,1378.4108
28,280,1122.6201
30,300,1433.9515
32,320,1131.0635
34,340,1037.1184
36,360,1160.763
38,380,1142.7045
40,400,1072.6698
42,420,1112.5447
44,440,1165.6559
46,460,1174.6325
48,480,1058.3767
50,500,1124.0159
52,520,1100.9293
54,540,1249.726
56,560,1131.6003
58,580,1118.499
60,600,1126.1736
62,620,1186.9691
64,640,1055.7344
66,660,1143.7423
68,680,1058.0111
70,700,1030.8447
72,720,1114.0726
74,740,1225.9672
76,760,1006.8451
78,780,1079.7841
80,800,1132.7501
82,820,1169.519
84,840,1122.3002
86,860,1106.5468
88,880,1124.9461
90,900,1171.9569
92,920,1119.4212
94,940,1102.635
96,960,657.8122
98,980,1121.1807
100,1000,1121.4228
