generation,timestep,reward
2,20,33.5811
4,40,26.6878
6,60,45.5707
8,80,56.726
10,100,56.5888
12,120,43.8597
14,140,34.4227
16,160,36.9243
18,180,53.5914
20,200,59.0794
22,220,56.327
24,240,17.0149
26,260,33.6154
28,280,54.6918
30,300,45.8149
32,320,27.9972
34,340,55.4998
36,360,47.2075
38,380,45.6115
40,400,65.9079
42,420,47.4893
44,440,40.9718
46,460,49.5351
48,480,36.9427
50,500,45.0703
52,520,48.4908
54,540,36.8181
56,560,34.5144
58,580,34.3569
60,600,34.9854
62,620,29.5219
64,640,24.5304
66,660,42.3901
68,680,37.2422
70,700,41.8804
72,720,20.539
74,740,47.6868
76,760,41.0543
78,780,35.6001
80,800,32.5822
82,820,30.6648
84,840,27.1187
86,860,27.8313
88,880,40.851
90,900,31.0505
92,920,38.4153
94,940,37.2804
96,960,47.3816
98,980,24.5328
100,1000,38.2219
102,1020,13.4656
104,1040,40.3995
106,1060,44.2874
108,1080,23.2297
110,1100,43.7035
112,1120,27.2802
114,1140,37.8935
116,1160,35.8919
118,1180,45.5087
120,1200,46.5052
122,1220,38.2412
124,1240,45.3849
126,1260,49.2284
128,1280,25.521
130,1300,42.9775
132,1320,41.1538
134,1340,36.5574
136,1360,33.3781
138,1380,34.0955
140,1400,40.6324
142,1420,54.2692
144,1440,46.6067
146,1460,36.4627
148,1480,27.6214
150,1500,31.8343
152,1520,51.369
154,1540,38.9274
156,1560,53.8142
158,1580,36.1171
160,1600,31.2639
162,1620,16.9249
164,1640,20.7528
166,1660,25.959
168,1680,23.7129
170,1700,27.5125
172,1720,49.2043
174,1740,28.8562
176,1760,42.915
178,1780,51.0092
180,1800,39.7908
182,1820,46.4673
184,1840,46.5756
186,1860,35.6663
188,1880,33.5528
190,1900,48.8537
192,1920,46.5126
194,1940,48.8323
196,1960,45.0152
198,1980,48.3059
200,2000,19.6475
202,2020,50.9435
204,2040,38.9709
206,2060,16.678
208,2080,50.2071
210,2100,49.059
212,2120,69.2111
214,2140,50.506
216,2160,72.2268
218,2180,68.2273
220,2200,62.7218
222,2220,54.611
224,2240,56.3368
226,2260,64.3326
228,2280,50.5096
230,2300,47.3391
232,2320,62.0991
234,2340,38.3251
236,2360,68.2948
238,2380,58.322
240,2400,72.2975
242,2420,41.0024
244,2440,38.9803
246,2460,59.0161
248,2480,35.2573
250,2500,31.7272
252,2520,48.586
254,2540,37.636
256,2560,45.6413
258,2580,51.7268
260,2600,30.9341
262,2620,38.0046
264,2640,40.5911
266,2660,55.2871
268,2680,49.214
270,2700,52.3838
272,2720,41.5694
274,2740,44.3874
276,2760,45.2141
278,2780,27.7996
280,2800,55.0488
282,2820,41.4439
284,2840,41.2746
286,2860,46.065
288,2880,21.6633
290,2900,20.5087
292,2920,31.4719
294,2940,31.1574
296,2960,35.1642
298,2980,35.3302
300,3000,30.8366
302,3020,41.9548
304,3040,39.3442
306,3060,41.6861
308,3080,24.5193
310,3100,28.1183
312,3120,34.6883
314,3140,27.6284
316,3160,20.9359
318,3180,30.5325
320,3200,58.6014
322,3220,48.4886
324,3240,47.7333
326,3260,27.0147
328,3280,51.541
330,3300,30.9663
332,3320,27.6277
334,3340,27.3671
336,3360,41.7836
338,3380,45.3664
340,3400,47.6361
342,3420,47.9236
344,3440,55.4612
346,3460,44.7699
348,3480,51.3332
350,3500,41.0807
352,3520,45.0572
354,3540,42.0085
356,3560,45.295
358,3580,30.8571
