generation,timestep,reward
2,20,14.7158
4,40,18.7605
6,60,35.2294
8,80,13.1418
10,100,39.0681
12,120,44.069
14,140,43.7353
16,160,57.446
18,180,42.7947
20,200,39.3958
22,220,30.7544
24,240,44.5637
26,260,6.272
28,280,31.0663
30,300,32.0085
32,320,30.0757
34,340,42.0206
36,360,15.2255
38,380,40.7418
40,400,33.2103
42,420,20.2283
44,440,20.7839
46,460,46.7356
48,480,17.0884
50,500,34.7218
52,520,10.0647
54,540,47.6265
56,560,34.1056
58,580,36.6845
60,600,13.0844
62,620,19.7641
64,640,16.4996
66,660,20.5762
68,680,37.4013
70,700,13.4578
72,720,52.4037
74,740,55.1473
76,760,28.8536
78,780,48.777
80,800,34.1612
82,820,26.4
84,840,42.4027
86,860,13.6731
88,880,6.7447
90,900,32.2128
92,920,60.77
94,940,49.7222
96,960,29.3364
98,980,43.3498
100,1000,38.7682
102,1020,16.0885
104,1040,17.0321
106,1060,6.85
108,1080,9.8495
110,1100,6.6837
112,1120,19.9182
114,1140,42.9081
116,1160,35.7754
118,1180,60.7542
120,1200,17.1366
122,1220,20.2759
124,1240,20.3652
126,1260,6.7429
128,1280,10.0645
130,1300,20.2381
132,1320,20.1245
134,1340,20.0827
136,1360,6.7835
138,1380,24.0309
140,1400,20.2965
142,1420,29.6496
144,1440,20.6732
146,1460,25.0995
148,1480,42.857
150,1500,24.0843
152,1520,48.8375
154,1540,21.3782
156,1560,64.881
158,1580,16.7431
160,1600,62.8409
162,1620,38.2286
164,1640,63.5893
166,1660,59.6204
168,1680,48.533
170,1700,37.7813
172,1720,60.4396
174,1740,71.1561
176,1760,39.0822
178,1780,17.351
180,1800,43.2485
182,1820,23.5639
184,1840,67.7079
186,1860,67.8269
188,1880,24.3512
190,1900,38.8989
192,1920,59.5848
194,1940,42.7739
196,1960,43.2267
198,1980,57.6214
200,2000,64.345
202,2020,20.4385
204,2040,43.4775
206,2060,66.056
208,2080,62.6414
210,2100,66.8124
212,2120,51.0053
214,2140,50.352
216,2160,69.6458
218,2180,57.0306
220,2200,75.2814
222,2220,71.5433
224,2240,70.0296
226,2260,68.7229
228,2280,58.9106
230,2300,45.8191
232,2320,35.1077
234,2340,43.9569
236,2360,48.1573
238,2380,65.222
240,2400,16.5632
242,2420,70.958
244,2440,49.8075
246,2460,45.1799
248,2480,57.9827
250,2500,39.1091
252,2520,59.841
254,2540,41.6646
256,2560,57.401
258,2580,50.4053
260,2600,71.8012
262,2620,31.798
264,2640,53.1943
266,2660,72.5153
268,2680,43.2645
270,2700,47.9791
272,2720,63.8761
274,2740,30.2623
276,2760,40.7116
278,2780,57.5496
280,2800,70.549
282,2820,62.3438
284,2840,70.7848
286,2860,67.7703
288,2880,75.9294
290,2900,66.8509
292,2920,67.6468
294,2940,54.6951
296,2960,70.1256
298,2980,55.993
300,3000,57.048
302,3020,54.0846
304,3040,52.4333
306,3060,70.5222
308,3080,72.7551
310,3100,45.4604
312,3120,71.8932
314,3140,60.9931
316,3160,70.2847
318,3180,71.2779
320,3200,74.0765
322,3220,71.5041
324,3240,70.4559
326,3260,65.11
328,3280,71.5603
330,3300,75.3304
332,3320,67.4023
334,3340,53.2223
336,3360,33.1081
338,3380,66.7098
340,3400,65.3578
342,3420,67.1717
344,3440,70.9748
346,3460,48.14
348,3480,36.5561
350,3500,49.3088
352,3520,47.0092
354,3540,52.9917
356,3560,53.5385
358,3580,56.2021
360,3600,59.3813
362,3620,54.8201
364,3640,62.5524
366,3660,67.1867
368,3680,68.0704
370,3700,63.7107
372,3720,68.2631
374,3740,70.854
376,3760,65.1939
378,3780,67.3727
380,3800,66.95
382,3820,63.8488
384,3840,50.8635
386,3860,74.1695
388,3880,71.34
390,3900,69.9842
392,3920,67.533
394,3940,62.7214
396,3960,68.3809
398,3980,74.0587
400,4000,66.2796
402,4020,66.6896
404,4040,70.3541
406,4060,74.1952
408,4080,41.2594
410,4100,69.6082
412,4120,69.4405
414,4140,72.4546
416,4160,69.5028
418,4180,69.469
420,4200,71.5156
422,4220,75.2458
424,4240,72.3645
426,4260,72.4315
428,4280,72.319
430,4300,70.2226
432,4320,72.8707
434,4340,68.629
436,4360,73.1761
438,4380,71.2674
440,4400,68.7551
442,4420,68.903
444,4440,62.9627
446,4460,60.019
448,4480,68.2621
450,4500,54.4493
452,4520,66.4192
454,4540,56.7853
456,4560,67.0674
458,4580,74.384
460,4600,69.5882
462,4620,73.6582
464,4640,68.189
466,4660,77.7358
468,4680,72.301
470,4700,72.7609
472,4720,74.9479
474,4740,66.45
476,4760,73.1875
478,4780,74.7458
480,4800,70.4842
482,4820,68.0504
484,4840,74.2553
486,4860,71.339
488,4880,72.2348
490,4900,74.6234
492,4920,72.0482
494,4940,72.91
496,4960,67.0536
498,4980,74.874
500,5000,74.9939
502,5020,71.8179
504,5040,68.4056
506,5060,67.8016
508,5080,70.0854
510,5100,72.3028
512,5120,72.1773
514,5140,75.6941
516,5160,72.2677
518,5180,68.9932
520,5200,75.4383
522,5220,73.2216
524,5240,73.4721
526,5260,70.9955
528,5280,45.7919
530,5300,68.054
532,5320,75.5115
534,5340,74.4678
536,5360,71.4945
538,5380,73.5903
540,5400,74.8803
542,5420,74.0844
544,5440,73.0754
546,5460,73.106
548,5480,73.0349
550,5500,59.46
552,5520,73.5882
554,5540,72.2534
556,5560,72.246
558,5580,69.8317
560,5600,71.4405
562,5620,73.0841
564,5640,69.9956
566,5660,73.0455
568,5680,74.9806
570,5700,73.4706
572,5720,70.613
574,5740,71.4566
576,5760,77.5069
578,5780,72.2145
580,5800,69.4902
582,5820,74.1467
584,5840,72.4421
586,5860,63.1857
588,5880,70.0825
590,5900,78.3737
592,5920,71.2819
594,5940,37.7793
596,5960,70.6475
598,5980,74.8998
600,6000,72.3172
602,6020,72.1078
604,6040,71.0345
606,6060,71.1588
608,6080,74.0985
610,6100,67.0575
612,6120,48.5672
614,6140,73.7652
616,6160,69.2084
618,6180,72.0662
620,6200,72.0701
622,6220,73.6833
624,6240,80.2414
626,6260,72.9397
628,6280,73.0855
630,6300,75.715
632,6320,72.2359
634,6340,74.2402
636,6360,71.8348
638,6380,75.3848
640,6400,75.5376
642,6420,72.091
644,6440,75.0469
646,6460,77.3982
648,6480,70.4629
650,6500,73.5319
652,6520,70.53
654,6540,76.0884
656,6560,72.8101
658,6580,75.5848
660,6600,75.9298
662,6620,73.0045
664,6640,74.5962
666,6660,74.1931
668,6680,80.1817
670,6700,73.5315
672,6720,76.2946
674,6740,70.5932
676,6760,69.6342
678,6780,75.1703
680,6800,71.1827
682,6820,77.3906
684,6840,69.6903
686,6860,74.0986
688,6880,72.6814
690,6900,75.8081
692,6920,74.9225
694,6940,74.5245
696,6960,59.568
698,6980,73.1272
700,7000,67.5463
702,7020,70.7474
704,7040,71.3833
706,7060,74.1041
708,7080,75.0895
710,7100,72.7514
712,7120,72.9262
714,7140,74.247
716,7160,68.0176
718,7180,71.2016
720,7200,71.9829
722,7220,70.8979
724,7240,66.1793
726,7260,71.1097
728,7280,74.6603
730,7300,62.3614
732,7320,71.2091
734,7340,74.2809
736,7360,73.4025
738,7380,66.6303
740,7400,72.0083
742,7420,78.6038
744,7440,71.7427
746,7460,74.8207
748,7480,70.1402
750,7500,71.2728
752,7520,78.089
754,7540,69.9763
756,7560,72.9767
758,7580,71.7275
760,7600,69.0492
762,7620,72.6367
764,7640,75.4284
766,7660,73.7636
768,7680,73.5048
770,7700,70.1583
772,7720,71.4658
774,7740,74.0034
776,7760,72.2493
778,7780,74.593
780,7800,73.292
782,7820,76.4088
784,7840,72.2767
786,7860,71.1621
788,7880,72.1259
790,7900,72.2727
792,7920,76.2693
794,7940,75.2804
796,7960,74.9468
798,7980,72.244
800,8000,72.2803
802,8020,74.7443
804,8040,72.4499
806,8060,76.0432
808,8080,74.8656
810,8100,71.3189
812,8120,72.2673
814,8140,70.9027
816,8160,71.5156
818,8180,75.7972
820,8200,71.452
822,8220,70.0625
824,8240,72.7187
826,8260,69.8881
828,8280,71.542
830,8300,69.9981
832,8320,71.1893
834,8340,71.1888
836,8360,74.5361
838,8380,73.4772
840,8400,75.7365
842,8420,77.8197
844,8440,75.8734
846,8460,73.5227
848,8480,73.5698
850,8500,72.0943
852,8520,71.4812
854,8540,56.821
856,8560,74.8676
858,8580,74.9574
860,8600,74.7854
862,8620,72.1528
864,8640,76.6916
866,8660,77.133
868,8680,38.9739
870,8700,79.0197
872,8720,73.6329
874,8740,75.0153
876,8760,72.2902
878,8780,70.3417
880,8800,74.8754
882,8820,73.2314
884,8840,68.212
886,8860,71.5246
888,8880,77.7774
890,8900,72.8812
892,8920,73.0439
894,8940,70.6677
896,8960,68.8892
898,8980,68.4899
900,9000,73.1759
902,9020,72.1734
904,9040,70.1936
906,9060,71.8708
908,9080,73.0836
910,9100,71.3612
912,9120,72.3039
914,9140,68.0673
916,9160,70.5944
918,9180,71.0283
920,9200,70.254
922,9220,73.3452
924,9240,72.291
926,9260,69.3448
928,9280,67.354
930,9300,68.639
932,9320,71.8127
934,9340,73.1813
936,9360,65.9569
938,9380,74.9938
940,9400,66.416
942,9420,73.2304
944,9440,71.6062
946,9460,73.0154
948,9480,71.099
950,9500,70.6397
952,9520,71.6026
954,9540,71.0994
956,9560,73.6899
958,9580,72.8853
960,9600,75.6617
962,9620,72.787
964,9640,69.1108
966,9660,69.0755
968,9680,70.8619
970,9700,71.9996
972,9720,73.2576
974,9740,72.2892
976,9760,74.9353
978,9780,68.9744
980,9800,70.4514
982,9820,72.3
984,9840,72.7308
986,9860,74.0059
988,9880,72.7547
990,9900,74.0088
992,9920,68.8406
994,9940,69.7787
996,9960,70.8202
998,9980,70.1959
1000,10000,69.2301
